	d2_0	d2_1	d2_2	d2_3	d2_4	d2_5	d2_6	d2_7	d2_8	d2_9	d2_10	d2_11	d2_12	d2_13	d2_14	d2_15	d2_16	d2_17	d2_18	d2_19	d2_20	d2_21	d2_22	d2_23	d2_24	d2_25	d2_26	d2_27	d2_28	d2_29	d2_30	d2_31	d2_32	d2_33	d2_34	d2_35	d2_36	d2_37	d2_38	d2_39	d2_40	d2_41	d2_42	d2_43	d2_44	d2_45	d2_46	d2_47	d2_48	d2_49	d2_50	d2_51	d2_52	d2_53	d2_54	d2_55	d2_56	d2_57	d2_58	d2_59	d2_60	d2_61	d2_62	d2_63	d2_64	d2_65	d2_66	d2_67	d2_68	d2_69	d2_70	d2_71	d2_72	d2_73	d2_74	d2_75	d2_76	d2_77	d2_78	d2_79	d2_80	d2_81	d2_82
d3_0	0	0.124574	0.0515926	0.0290477	0.0186065	0.012923	0.00971755	0.00774321	0.00627797	0.00509286	0.00478136	0.0040063	0.00344879	0.00337014	0.00339273	0.00286168	0.00290041	0.00280151	0.00238206	0.00247327	0.00254398	0.00225728	0.00238746	0.00240321	0.00241028	0.00215705	0.00212404	0.00218593	0.00209333	0.00188884	0.00188579	0.0016056	0.0017457	0.00154098	0.00151292	0.0016409	0.00141168	0.0015077	0.00141645	0.00167495	0.0015424	0.00138508	0.00121713	0.00127484	0.00127502	0.00113815	0.00131404	0.00120792	0.00109037	0.000954074	0.00104528	0.00080892	0.00107339	0.000814939	0.000849583	0.000818368	0.000816811	0.000918987	0.000729829	0.000755566	0.000618444	0.000652771	0.000610874	0.000643365	0.000599045	0.000459243	0.000597875	0.000476896	0.000452602	0.000422032	0.000401192	0.000286241	0.000353144	0.000368543	0.000298445	0.000332733	0.000213782	0.000207338	0.000190508	0.000184182	0.000179983	0.000155965	0.000341188
d3_1	0.0697099	6.5975e-06	3.16231e-05	2.11158e-05	8.56577e-06	2.32602e-05	2.37205e-07	6.55504e-06	2.42726e-05	2.74376e-05	2.53044e-05	2.1166e-05	1.90912e-05	1.48815e-05	1.47817e-05	2.73635e-05	1.27614e-05	3.15675e-05	3.15582e-05	4.51817e-05	3.9905e-05	1.90607e-05	3.15435e-05	1.69456e-05	4.41162e-05	2.525e-05	4.61203e-05	2.21891e-05	1.27687e-05	2.11089e-05	1.68634e-05	2.73479e-05	4.61679e-05	2.11784e-05	2.3179e-05	3.3619e-05	2.93426e-05	2.94196e-05	4.19203e-05	3.98173e-05	1.26739e-05	2.72878e-05	3.34854e-05	3.1422e-05	3.7644e-05	1.68534e-05	2.31813e-05	3.77276e-05	2.09941e-05	2.30806e-05	1.89239e-05	3.35467e-05	1.26217e-05	6.37336e-06	2.51539e-05	2.09768e-05	3.56402e-05	1.47391e-05	4.59965e-05	1.68043e-05	6.28724e-06	1.88331e-05	1.25597e-05	2.92454e-05	2.93469e-05	3.14168e-05	1.68208e-05	1.47015e-05	1.2586e-05	7.39613e-06	6.28313e-06	1.26423e-05	8.38113e-06	2.7141e-05	4.23206e-06	2.71924e-05	8.39384e-06	2.09013e-05	1.23859e-08	6.33145e-06	1.25365e-05	1.2543e-05	1.6761e-05
d3_2	0.0295266	2.32114e-06	1.91071e-05	3.15613e-05	2.11444e-05	8.62822e-06	8.57174e-06	1.91266e-05	2.53407e-05	1.27211e-05	1.90283e-05	4.61671e-05	1.28277e-05	1.89986e-05	4.20656e-05	5.87018e-05	8.4983e-06	3.15803e-05	2.7399e-05	2.7445e-05	1.5888e-05	2.11529e-05	2.31644e-05	2.52868e-05	2.10921e-05	2.52466e-05	4.19806e-05	8.58287e-06	2.31106e-05	1.68591e-05	1.27347e-05	2.31263e-05	2.83716e-05	4.19757e-05	3.36106e-05	2.31797e-05	1.48195e-05	2.72366e-05	2.73873e-05	4.43432e-06	2.22063e-06	2.935e-05	8.51996e-06	4.81766e-05	2.72664e-05	2.51504e-05	2.72663e-05	4.19147e-05	2.42973e-05	4.61431e-05	4.60464e-05	6.40026e-06	2.19918e-05	2.09502e-05	2.51539e-05	3.34397e-05	5.6517e-05	8.4167e-06	6.21954e-08	1.4704e-05	1.2639e-05	2.30668e-05	6.37733e-06	6.31355e-06	2.71994e-05	2.09119e-05	1.26191e-05	6.33508e-06	6.37528e-06	4.17668e-08	1.25941e-05	1.25912e-05	2.51053e-05	1.25317e-05	6.43522e-08	6.27697e-06	5.79726e-08	3.34135e-05	8.42353e-06	1.25436e-05	1.25596e-05	8.34215e-06	3.76421e-05
d3_3	0.0166021	2.53117e-05	2.35388e-06	1.48797e-05	2.94763e-05	3.9932e-05	2.32595e-05	3.78968e-05	8.60956e-06	3.57122e-05	1.48321e-05	2.73423e-05	2.52505e-05	1.90274e-05	2.31548e-05	2.317e-05	2.22847e-05	1.06707e-05	2.11088e-05	5.44174e-05	1.48663e-05	2.9361e-05	2.2122e-05	2.72942e-05	3.3603e-05	4.82755e-05	3.36498e-05	2.1034e-05	2.94476e-05	8.58865e-06	3.98288e-05	1.27667e-05	4.39988e-05	2.5211e-05	8.59614e-06	5.0262e-05	2.51694e-05	2.72594e-05	2.31809e-05	3.56603e-05	4.61001e-05	3.36531e-05	1.4736e-05	1.16352e-05	3.14257e-05	2.30794e-05	4.80942e-05	2.41798e-05	3.35123e-05	2.22173e-06	4.60444e-05	1.05552e-05	2.51448e-05	3.56283e-05	1.47078e-05	1.88557e-05	2.51899e-05	3.1431e-05	2.92667e-05	3.55435e-05	2.72124e-05	2.72226e-05	2.51932e-05	1.88695e-05	6.68891e-08	1.2624e-05	4.39397e-05	1.46872e-05	1.2572e-05	1.46443e-05	1.46379e-05	1.25489e-05	1.46422e-05	1.88482e-05	1.88356e-05	1.47038e-05	6.3064e-06	1.19075e-08	1.49119e-08	2.49557e-08	2.39197e-08	1.25485e-05	1.25919e-05
d3_4	0.0105569	1.90522e-05	8.66448e-06	1.90506e-05	1.69671e-05	1.9015e-05	1.27711e-05	2.11285e-05	2.31778e-05	3.99953e-05	2.22392e-05	2.8311e-07	1.2733e-05	2.21205e-05	7.01322e-05	1.90596e-05	3.78009e-05	1.48058e-05	1.90392e-05	2.31634e-05	1.90394e-05	2.37097e-06	1.0657e-05	3.99071e-05	2.74197e-05	1.48045e-05	2.53014e-05	3.98269e-05	3.56903e-05	7.11474e-05	3.1499e-05	3.3548e-05	4.91897e-05	3.57264e-05	3.97941e-05	1.27366e-05	1.89659e-05	2.31432e-05	3.66885e-05	2.944e-05	3.36065e-05	1.88775e-05	3.14603e-05	2.93797e-05	1.88673e-05	3.56557e-05	1.88515e-05	2.10254e-05	1.4746e-05	2.51773e-05	1.4676e-05	2.30532e-05	1.85087e-05	1.88924e-05	5.43702e-05	1.46797e-05	3.76512e-05	2.51097e-05	1.2617e-05	4.39594e-05	3.14444e-05	4.82775e-08	1.88665e-05	3.34631e-05	2.59946e-08	2.5159e-05	2.09553e-05	2.71365e-05	1.88381e-05	2.29804e-05	3.97183e-05	6.35854e-06	6.36124e-06	1.4649e-05	2.65736e-08	2.50777e-05	6.26361e-06	1.87838e-05	6.29058e-06	1.46266e-05	1.46169e-05	3.7944e-08	1.26012e-05
d3_5	0.00710371	2.52993e-05	1.28334e-05	4.82947e-05	2.11355e-05	6.48165e-06	3.16101e-05	2.52955e-05	2.14348e-07	2.31572e-05	2.73806e-05	4.614e-05	2.73472e-05	2.11759e-05	4.19213e-05	3.26392e-05	1.90462e-05	3.14819e-05	3.15326e-05	3.58182e-05	3.98556e-05	2.32058e-05	3.98596e-05	1.27039e-05	3.7771e-05	4.19316e-05	2.73835e-05	6.50027e-06	4.19717e-05	3.77926e-05	1.90007e-05	1.90399e-05	4.19579e-05	2.10619e-05	1.79639e-05	1.45182e-07	4.186e-05	3.15497e-05	3.14817e-05	3.14985e-05	3.36248e-05	8.5153e-06	4.18821e-05	2.73211e-05	2.72261e-05	2.3127e-05	3.3548e-05	6.07491e-05	3.97917e-05	2.93745e-05	2.82803e-05	4.39294e-05	3.34214e-05	4.39851e-05	3.34861e-05	2.9397e-05	2.727e-05	3.34956e-05	2.93445e-05	2.30988e-05	3.34743e-05	2.72078e-05	2.72014e-05	3.9729e-05	8.42307e-06	1.46689e-05	1.0501e-05	6.29804e-06	2.72042e-05	4.38937e-05	6.32659e-06	1.25543e-05	7.40322e-08	6.31473e-06	1.25371e-05	3.34363e-05	6.2995e-06	1.88177e-05	3.71931e-09	5.97024e-09	6.31967e-06	3.34104e-05	6.33764e-06
d3_6	0.00500692	2.33143e-06	4.20395e-05	6.52892e-06	1.90119e-05	1.90842e-05	6.47565e-06	3.16811e-05	6.50943e-06	5.24962e-05	1.48742e-05	1.48507e-05	3.98921e-05	1.90155e-05	4.828e-05	2.10952e-05	4.19795e-05	2.31229e-05	1.89577e-05	1.899e-05	2.11041e-05	2.51819e-05	3.98337e-05	3.98653e-05	1.89344e-05	3.98513e-05	1.26988e-05	3.56798e-05	3.15502e-05	3.56504e-05	4.19152e-05	3.36792e-05	3.14768e-05	2.93908e-05	4.18983e-05	3.35183e-05	2.73034e-05	4.4108e-05	2.73141e-05	1.47647e-05	2.42233e-05	6.38922e-06	4.5041e-05	1.2648e-05	2.10509e-05	3.35121e-05	2.72992e-05	4.60648e-05	4.81407e-05	3.45703e-05	2.26753e-05	2.30732e-05	2.19309e-06	3.56022e-05	2.72964e-05	2.83462e-05	3.97774e-05	2.13987e-06	1.47102e-05	2.19479e-05	1.46968e-05	2.09543e-05	1.01894e-07	6.27134e-05	3.76756e-05	1.25731e-05	3.75963e-05	1.26076e-05	3.39498e-08	2.50987e-05	1.25708e-05	1.26029e-05	1.46116e-05	6.29615e-06	6.27008e-06	2.08957e-05	5.33659e-08	6.28138e-06	6.29037e-06	8.4017e-06	6.30471e-06	2.08817e-05	4.07969e-05
d3_7	0.00362619	1.90582e-05	2.35273e-06	1.69296e-05	2.00053e-07	6.5191e-06	1.90793e-05	1.27625e-05	1.06745e-05	2.53253e-05	1.27518e-05	3.47542e-05	2.67234e-07	1.89646e-05	1.69159e-05	1.89822e-05	3.15621e-05	4.19849e-05	2.11695e-05	3.98621e-05	3.98606e-05	2.10367e-05	1.89177e-05	3.36536e-05	4.60778e-05	4.82168e-05	5.65634e-05	1.68765e-05	5.87058e-05	6.4877e-06	3.56459e-05	1.97427e-07	2.40633e-07	1.26614e-05	4.60506e-05	2.73313e-05	2.52437e-05	8.36117e-05	1.47537e-05	2.7294e-05	2.51994e-05	1.88892e-05	3.56802e-05	3.98484e-05	1.26957e-05	8.26548e-08	2.72964e-05	4.60827e-05	4.39387e-05	2.72092e-05	3.9801e-05	4.40049e-05	2.51822e-05	1.26474e-05	2.30318e-05	8.49407e-06	6.34394e-06	1.88334e-05	1.47026e-05	1.25989e-05	1.88529e-05	2.72633e-05	6.3526e-06	3.14086e-05	3.96852e-05	1.26045e-05	6.54468e-08	8.39865e-06	1.575e-05	2.92551e-05	2.51122e-05	6.31016e-06	1.25778e-05	2.92889e-05	2.19532e-05	1.46578e-05	2.4783e-09	1.46295e-05	2.86757e-08	1.42688e-09	2.92541e-05	6.27951e-06	1.25285e-05
d3_8	0.00268479	1.27859e-05	2.29302e-07	2.11578e-05	2.12371e-05	2.6348e-05	2.11265e-05	6.47882e-06	3.04404e-05	2.10845e-05	2.52982e-05	1.4915e-05	1.27643e-05	1.68751e-05	2.52325e-05	2.73488e-05	1.69857e-05	3.35773e-05	2.52052e-05	4.62814e-05	2.83696e-05	1.94808e-07	5.13147e-05	3.77966e-05	1.89935e-05	8.52316e-06	4.6066e-05	2.64014e-05	8.56298e-06	5.03923e-05	3.3534e-05	1.48444e-05	5.65175e-05	5.24421e-05	2.10258e-05	3.15052e-05	1.90029e-05	7.32062e-05	3.14229e-05	2.73411e-05	3.56115e-05	3.76763e-05	6.37634e-06	1.47252e-05	2.93579e-05	2.1004e-05	2.8336e-05	1.26043e-05	2.0984e-05	4.18699e-05	1.2648e-05	2.93348e-05	1.26041e-05	1.46993e-05	2.10129e-05	2.51909e-05	4.39895e-05	3.34602e-05	1.47565e-05	3.76806e-05	1.26294e-05	9.45503e-06	3.66884e-05	4.3935e-05	2.40946e-05	1.25786e-05	8.42616e-06	3.13525e-05	1.88389e-05	3.36295e-08	6.3026e-06	2.30596e-05	2.50881e-05	2.71583e-05	2.09051e-05	4.66371e-08	1.25559e-05	1.26028e-05	1.25482e-05	7.40799e-09	6.27442e-06	2.08943e-05	2.93169e-05
d3_9	0.00200528	1.47816e-05	6.51138e-06	1.90338e-05	3.15955e-05	2.11299e-05	1.27377e-05	1.89843e-05	8.63521e-06	2.11806e-05	1.70034e-05	8.59795e-06	2.74043e-05	4.72658e-05	2.11315e-05	1.27791e-05	4.41334e-05	4.19279e-05	1.26842e-05	1.27503e-05	3.7822e-05	4.40722e-05	4.29424e-05	3.77864e-05	3.35789e-05	8.58869e-06	2.31265e-05	3.35681e-05	2.32496e-05	1.8983e-05	1.27004e-05	3.46225e-05	2.5218e-05	1.27213e-05	3.88212e-05	6.90286e-05	3.35312e-05	3.56232e-05	2.73305e-05	1.26594e-05	2.72911e-05	1.48272e-05	3.97981e-05	4.29085e-05	1.8924e-05	2.30624e-05	1.47456e-05	6.79246e-05	3.56175e-05	1.88787e-05	3.98441e-05	2.7245e-05	1.25721e-05	2.92856e-05	1.26545e-05	2.30791e-05	3.97453e-05	2.72556e-05	1.8856e-05	1.68012e-05	3.76869e-05	2.09437e-05	2.10051e-05	6.3195e-06	1.88673e-05	1.26021e-05	1.8874e-05	1.05329e-05	1.26292e-05	2.92773e-05	2.30022e-05	1.67765e-05	1.46319e-05	1.26371e-08	1.25654e-05	1.15057e-05	1.25825e-05	1.25585e-05	1.88128e-05	6.27922e-06	1.25396e-05	6.27064e-06	3.66386e-05
