	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	d0_81	d0_82	d0_83	d0_84	d0_85	d0_86	d0_87	d0_88	d0_89	d0_90	d0_91	d0_92	d0_93	d0_94
d3_0	0	0.0109968	0.00615882	0.0045928	0.00399083	0.00349783	0.00300615	0.00284629	0.0025215	0.00236666	0.0020889	0.00253312	0.00227479	0.0022898	0.00212121	0.00217863	0.0020821	0.00205121	0.00189481	0.00186767	0.00179498	0.00187779	0.00173729	0.00196305	0.00194338	0.00184523	0.00159766	0.00158079	0.00173	0.00186359	0.00180959	0.0017175	0.00167342	0.00173533	0.00170244	0.00175271	0.00176781	0.00170213	0.00191096	0.0017689	0.00176821	0.00158073	0.00159753	0.001644	0.00182028	0.00156368	0.0015528	0.00156743	0.00160191	0.00154822	0.00175674	0.00168803	0.00157109	0.00142613	0.00165605	0.00173854	0.00162507	0.00160747	0.00157017	0.00155829	0.00139344	0.00150555	0.00165588	0.0016182	0.00153855	0.0014358	0.00151393	0.00142177	0.00150221	0.00158524	0.00170693	0.00139511	0.0016406	0.00150701	0.00134878	0.00142208	0.00163955	0.00132887	0.00150186	0.00152263	0.00135149	0.00158848	0.00154945	0.00167948	0.00154432	0.00146504	0.00137634	0.0013344	0.00146074	0.00141867	0.00139454	0.00150705	0.0013913	0.00144987	0.160067
d3_1	0.0736235	6.55108e-06	2.17616e-08	2.5792e-09	8.4955e-09	6.55178e-06	8.7278e-06	6.54364e-06	1.96188e-05	1.30982e-05	1.52811e-05	1.30698e-05	3.29343e-09	3.54994e-08	4.76447e-09	1.30812e-05	1.31013e-05	8.60132e-09	6.53791e-06	8.7211e-06	6.54368e-06	1.30943e-05	1.52769e-05	0	1.30938e-05	1.29688e-08	9.5236e-09	4.39566e-09	6.54472e-06	8.32582e-09	8.73843e-06	8.73025e-06	6.54498e-06	8.7336e-06	0	8.74001e-06	2.21136e-06	1.02013e-08	0	4.57267e-10	4.71093e-09	1.74545e-05	6.5503e-06	8.7349e-06	6.5353e-06	6.5392e-06	1.67611e-10	0	1.52631e-05	0	6.54527e-06	6.53417e-06	1.96305e-05	1.12587e-10	8.72895e-06	0	1.45283e-08	1.8083e-08	6.30185e-09	3.80694e-09	0	0	6.54528e-06	6.53505e-06	6.55041e-06	1.3082e-05	7.90369e-11	6.54169e-06	6.54301e-06	8.72942e-06	0	6.54015e-06	8.72762e-06	6.54544e-06	5.6433e-09	8.32702e-09	8.51292e-09	6.54179e-06	5.12889e-09	0	4.28388e-10	1.4913e-08	8.73583e-06	6.53568e-06	1.32432e-08	2.18049e-05	6.69993e-09	2.19183e-06	9.60919e-09	6.54406e-06	0	2.18778e-06	0	0	0.000628114
d3_2	0.0316993	0	1.30844e-05	2.13113e-08	6.53814e-06	6.54505e-06	6.54465e-06	1.63928e-08	6.54227e-06	6.54457e-06	9.81638e-06	1.05085e-08	6.54404e-06	5.57933e-09	6.54661e-06	1.49554e-08	0	6.54529e-06	3.04248e-09	2.19357e-06	6.55106e-06	8.23956e-09	2.96839e-09	6.54465e-06	6.54567e-06	4.88001e-09	1.30894e-05	5.46801e-09	5.11865e-09	1.31435e-08	6.55734e-06	1.52764e-05	2.19404e-06	0	1.50716e-09	6.54251e-06	1.30905e-05	3.2644e-09	0	8.73795e-06	1.96252e-05	1.74511e-05	1.09192e-05	8.72061e-06	0	6.33578e-09	6.55622e-06	6.5584e-06	1.30829e-05	6.54778e-06	1.52668e-05	2.18064e-05	4.73223e-10	8.72348e-06	7.23396e-09	6.55782e-06	8.72014e-06	0	8.72599e-06	0	0	1.25504e-09	1.30955e-05	2.18251e-06	1.30846e-05	8.7226e-06	6.53787e-06	2.18545e-06	1.38235e-08	6.55009e-06	1.52718e-05	9.1895e-10	8.72579e-06	0	4.289e-09	1.30934e-05	8.71997e-06	6.54765e-06	5.79261e-09	0	6.54253e-06	6.53836e-06	1.54096e-09	8.7177e-06	3.22553e-09	4.42149e-09	1.72636e-10	8.71633e-06	6.84085e-09	6.54836e-06	6.54005e-06	2.40102e-09	1.3079e-05	3.73473e-09	0.000719659
d3_3	0.0182095	9.96847e-09	6.18713e-09	6.54596e-06	2.19652e-06	6.54383e-06	8.71733e-06	1.52693e-05	7.6951e-10	1.14801e-08	6.5543e-06	6.0285e-10	1.30921e-05	1.52681e-05	8.72215e-06	0	1.30843e-05	1.47978e-09	0	1.96248e-05	1.2789e-09	6.53518e-06	1.3077e-05	6.55452e-06	2.15481e-09	2.18688e-06	5.17672e-09	1.30938e-05	6.56189e-06	1.30925e-05	1.24329e-09	2.95768e-09	8.7275e-06	1.30876e-05	6.54337e-06	5.64834e-10	2.1966e-06	0	3.15523e-09	6.54282e-06	5.71518e-09	2.18893e-06	8.72635e-06	0	6.53417e-06	1.30822e-05	1.98514e-08	1.52717e-05	6.54611e-06	3.48916e-09	1.30747e-05	1.66655e-09	2.25281e-09	6.54792e-06	6.53894e-06	6.54282e-06	1.76991e-08	2.03855e-09	6.54112e-06	3.14004e-09	2.18036e-05	3.62323e-09	1.96244e-05	4.93151e-10	1.30752e-05	8.47703e-10	6.55511e-06	1.30868e-05	5.99974e-09	1.5269e-05	6.53844e-06	2.19257e-06	0	8.73171e-06	0	2.08852e-09	1.96122e-05	6.5399e-06	1.30822e-05	6.55104e-06	8.73396e-06	6.55891e-06	1.43753e-08	6.59638e-09	6.54474e-06	1.96299e-05	3.91215e-09	6.53582e-06	9.81676e-09	1.96357e-05	2.84417e-09	0	2.19738e-06	8.7216e-06	0.000775358
d3_4	0.0118109	8.72398e-06	1.3479e-08	3.1616e-09	1.30923e-05	6.54485e-06	6.55452e-06	1.37085e-09	6.55059e-06	6.54355e-06	6.53633e-06	6.53988e-06	8.72355e-06	2.18809e-06	3.57203e-09	4.7142e-09	8.86136e-10	3.12267e-10	6.54176e-06	6.55016e-06	5.35244e-09	2.19349e-06	2.19508e-06	2.2037e-06	8.71841e-06	1.68077e-09	6.41126e-09	0	0	9.81725e-06	1.52663e-05	6.55632e-06	2.06881e-10	6.54378e-06	0	1.3105e-05	0	6.55027e-06	5.15345e-09	6.54458e-06	0	1.96236e-05	7.81853e-09	1.30997e-05	8.83799e-09	6.53417e-06	6.54405e-06	6.54431e-06	1.72599e-08	6.53494e-06	1.08938e-09	0	7.61894e-09	6.53948e-06	1.09857e-06	1.74623e-05	1.7464e-05	7.64329e-09	6.54374e-06	3.28119e-06	1.30938e-05	8.01932e-09	9.26209e-09	0	0	1.63582e-05	1.96311e-05	1.30827e-05	6.56227e-06	2.17806e-06	8.63062e-10	8.73209e-06	5.81567e-09	6.54723e-06	6.54908e-06	6.54541e-06	0	0	6.53953e-06	1.96334e-05	8.73266e-06	6.8797e-09	9.82041e-06	6.54242e-06	6.54307e-06	8.72545e-06	6.54339e-06	2.19459e-06	2.18835e-06	6.54509e-06	8.34979e-09	1.30814e-05	2.18134e-06	6.53515e-06	0.000754501
d3_5	0.00825388	6.54276e-06	8.72173e-06	1.5221e-10	3.10705e-09	6.55113e-06	0	6.54538e-06	1.74579e-05	6.54667e-06	0	2.39949e-05	1.43861e-08	2.18876e-06	8.73713e-06	1.30869e-05	6.55249e-06	7.10774e-09	0	5.65126e-10	1.09127e-05	3.96121e-09	6.55188e-06	6.53981e-06	6.5463e-06	0	2.20172e-06	6.54039e-06	8.05077e-09	6.53531e-06	0	6.12242e-09	0	4.94248e-09	0	1.39797e-09	6.54256e-06	1.52681e-05	6.55004e-06	4.27494e-09	0	6.53585e-06	0	7.61189e-09	3.27607e-06	2.77314e-09	1.30765e-05	0	6.3205e-09	2.1809e-05	7.73438e-09	1.05249e-08	3.68563e-09	5.61869e-09	8.5908e-09	7.00207e-09	6.54727e-06	1.31e-05	6.54351e-06	6.53491e-06	1.30852e-05	0	6.54839e-06	0	8.74157e-06	6.53796e-06	5.89363e-09	1.30726e-05	1.2762e-08	4.38452e-06	2.80409e-09	6.55663e-06	0	1.30906e-05	2.8837e-09	1.52721e-05	6.55376e-06	3.7395e-09	0	4.35135e-09	1.52638e-05	6.54999e-06	5.87202e-09	0	0	1.62733e-09	2.82392e-09	5.64766e-09	0	0	3.27202e-09	6.54532e-06	8.24897e-09	0	0.000732787
d3_6	0.00583429	1.43352e-09	6.54298e-06	6.54952e-06	2.6915e-09	0	5.77782e-09	6.54181e-06	6.55098e-06	2.8346e-05	0	1.52667e-05	2.72025e-09	2.80813e-09	0	1.30875e-05	4.13774e-09	6.55201e-06	1.3086e-05	3.62231e-09	8.39121e-09	1.30864e-05	6.55951e-06	2.191e-06	6.54306e-06	6.5432e-06	7.0475e-09	6.55312e-06	1.09284e-05	6.31912e-10	2.19964e-06	6.54442e-06	1.309e-05	6.54247e-06	6.53921e-06	6.54752e-06	7.82659e-11	6.55153e-06	6.54007e-06	1.30921e-05	0	5.86233e-09	2.1928e-06	5.67074e-09	1.09262e-05	5.2913e-09	8.72331e-06	0	1.30781e-05	6.5411e-06	4.81763e-09	1.30795e-05	6.54419e-06	0	1.37588e-09	1.21895e-08	9.34748e-09	8.73603e-06	1.82926e-09	0	6.54011e-06	2.84833e-09	6.54757e-06	0	1.38578e-08	8.72945e-06	6.53647e-06	6.54474e-06	4.01692e-09	8.80141e-09	0	2.1808e-06	1.70866e-08	1.3084e-05	4.50511e-09	8.73433e-06	6.54439e-06	4.06058e-09	2.20478e-06	2.19733e-06	3.82918e-09	0	6.71113e-09	6.54469e-06	1.88592e-09	6.53881e-06	9.50657e-09	1.01615e-08	0	8.71975e-06	8.72744e-06	8.72891e-06	1.7622e-09	2.77986e-09	0.000852719
d3_7	0.00464287	6.11606e-09	6.53813e-06	5.64789e-09	8.19041e-09	0	9.62058e-09	8.52446e-10	1.41955e-09	4.55134e-09	6.5439e-06	6.55292e-06	6.5379e-06	1.52806e-05	2.19875e-09	2.19833e-06	8.7236e-06	7.52078e-09	5.34608e-09	6.54491e-06	1.25687e-08	8.73167e-06	7.43445e-09	6.53977e-06	0	6.54073e-06	1.05648e-08	0	6.55143e-06	6.56903e-06	8.75183e-06	2.19222e-06	6.54533e-06	1.6048e-09	4.98977e-09	1.52717e-05	2.19077e-06	6.54647e-06	7.24042e-09	3.07705e-09	6.5458e-06	2.20079e-06	1.30784e-05	6.55206e-06	1.30928e-05	6.54806e-06	8.33145e-10	6.54283e-06	1.50486e-08	3.27652e-06	1.75406e-09	8.20638e-09	6.54324e-06	6.54345e-06	6.54659e-06	2.68082e-09	0	1.30905e-05	6.54472e-06	8.73581e-06	6.35196e-09	1.74631e-05	1.30986e-05	6.74402e-09	8.73004e-06	9.26071e-09	2.19009e-06	0	0	1.54303e-08	6.54506e-06	6.53417e-06	2.18706e-06	0	1.30986e-05	1.21482e-08	5.63661e-09	3.7096e-09	0	1.09611e-08	5.54274e-09	0	6.54379e-06	1.52586e-05	6.53912e-06	1.09641e-10	1.03018e-08	8.23559e-09	1.09011e-05	1.63595e-05	1.0496e-09	1.30812e-05	6.54413e-06	1.26485e-08	0.000749085
d3_8	0.00342381	4.41035e-09	7.65546e-09	1.30739e-05	0	2.1951e-06	6.53678e-06	4.68491e-09	8.04348e-09	2.18716e-06	2.19075e-06	1.61484e-09	2.18574e-06	7.4809e-09	7.33994e-09	0	3.12729e-09	2.20018e-06	8.71741e-06	3.45436e-09	5.0483e-09	6.53838e-06	0	2.16367e-09	4.37079e-06	2.42613e-09	0	6.26833e-09	0	1.5274e-05	2.0392e-09	5.92611e-09	6.54469e-06	8.02114e-09	1.96694e-08	6.53938e-06	1.94625e-09	6.54416e-06	4.62651e-09	6.53658e-06	1.96125e-05	2.40054e-09	6.54619e-06	6.54716e-06	8.72081e-06	6.54529e-06	1.21778e-08	1.11245e-08	6.55335e-06	1.23529e-08	1.30773e-05	8.72431e-06	0	0	1.74519e-05	3.59945e-10	1.20084e-05	8.13506e-09	2.0389e-09	0	1.30808e-05	0	6.5441e-06	9.50449e-09	6.55181e-06	0	4.79934e-09	1.34519e-09	1.31201e-08	6.54129e-06	1.63521e-05	8.73003e-06	6.55509e-06	8.23973e-09	6.54197e-06	9.39987e-10	6.54446e-06	1.10015e-06	8.12336e-09	6.54167e-06	9.5418e-09	0	2.18138e-05	2.20025e-06	0	6.54491e-06	0	9.25773e-09	8.72449e-06	8.73453e-06	1.52658e-05	3.12326e-09	2.65262e-10	2.96396e-09	0.000763335
d3_9	0.00286794	1.52582e-05	6.71401e-09	5.88907e-09	8.72177e-06	6.53909e-06	2.32769e-08	6.5415e-06	1.52673e-05	6.55295e-06	1.80191e-08	2.18854e-06	1.30897e-05	1.73124e-08	4.92118e-09	2.20888e-09	2.39918e-09	0	2.19022e-06	6.54251e-06	3.27169e-06	6.55411e-06	6.54469e-06	2.19616e-06	2.76909e-09	6.55208e-06	7.15778e-09	8.19684e-09	6.55394e-06	6.53961e-06	6.54604e-06	6.55241e-06	1.09897e-06	1.30868e-05	1.85853e-08	0	2.85581e-09	8.71703e-09	6.55313e-06	1.96309e-05	5.27972e-10	6.54915e-06	5.08933e-09	8.71886e-06	8.72569e-06	6.54191e-06	6.54503e-06	6.54249e-06	6.54701e-06	6.53529e-06	1.95626e-08	1.96201e-05	3.5421e-09	6.54424e-06	7.23285e-09	9.23359e-10	0	6.54261e-06	6.53761e-06	6.53898e-06	0	8.724e-06	1.30848e-05	7.12824e-09	1.10979e-09	6.53937e-06	1.30871e-05	6.54889e-06	2.18066e-05	6.55154e-06	6.22008e-09	4.85159e-09	6.53435e-06	6.53925e-06	2.18105e-06	8.72549e-06	0	6.5471e-06	1.30832e-05	2.19194e-06	1.30807e-05	6.35138e-09	6.54099e-06	8.72919e-06	6.53749e-06	1.39418e-08	2.18411e-06	0	1.17168e-08	6.74296e-09	8.72695e-06	4.54107e-09	6.54488e-06	7.23072e-09	0.000697945
