	d2_0	d2_1	d2_2	d2_3	d2_4	d2_5	d2_6	d2_7	d2_8	d2_9	d2_10	d2_11	d2_12	d2_13	d2_14	d2_15	d2_16	d2_17	d2_18	d2_19	d2_20	d2_21	d2_22	d2_23	d2_24	d2_25	d2_26	d2_27	d2_28	d2_29	d2_30	d2_31	d2_32	d2_33	d2_34	d2_35	d2_36	d2_37	d2_38	d2_39	d2_40	d2_41	d2_42	d2_43	d2_44	d2_45	d2_46	d2_47	d2_48	d2_49	d2_50	d2_51	d2_52	d2_53	d2_54	d2_55	d2_56	d2_57	d2_58	d2_59	d2_60	d2_61	d2_62	d2_63	d2_64	d2_65	d2_66	d2_67	d2_68	d2_69	d2_70	d2_71	d2_72	d2_73	d2_74	d2_75	d2_76	d2_77	d2_78	d2_79	d2_80	d2_81	d2_82
d3_0	0	0.124836	0.051734	0.0290185	0.0188135	0.0127255	0.00940157	0.00773952	0.00622715	0.00515198	0.00434581	0.00413065	0.00368002	0.00350008	0.00321569	0.00295223	0.00282342	0.00263093	0.00290143	0.0026558	0.00263852	0.0023818	0.00241248	0.0023845	0.00219108	0.00216869	0.00204981	0.00210451	0.00203379	0.00188988	0.00199507	0.00186556	0.0019469	0.00184347	0.00172731	0.00158416	0.00163165	0.00169011	0.00171594	0.00140734	0.00133468	0.00130456	0.00142993	0.00117959	0.00124382	0.00100089	0.0011511	0.00116408	0.00107217	0.000983445	0.00105827	0.00104432	0.0010392	0.000991028	0.00088668	0.000888709	0.000887721	0.000793633	0.000731026	0.00067458	0.000685881	0.000724367	0.000581683	0.000544924	0.000590719	0.000549934	0.000452208	0.000470737	0.000492541	0.000345737	0.000422477	0.000304926	0.000320429	0.000318117	0.00027018	0.000285716	0.000206638	0.000204574	0.000256546	0.000198185	0.000184577	0.000201167	0.000327449
d3_1	0.0695297	2.10492e-05	1.27128e-05	1.47802e-05	2.52262e-05	2.1078e-05	1.47672e-05	2.10176e-05	2.0323e-07	4.6023e-05	2.72751e-05	4.18821e-05	3.14203e-05	4.28719e-05	2.20822e-05	8.52048e-06	1.47644e-05	1.89369e-05	2.72535e-05	1.50935e-07	2.10219e-05	3.03415e-05	2.72477e-05	2.09514e-05	4.18029e-05	5.42666e-05	4.59591e-05	5.53221e-05	4.3837e-05	2.71854e-05	1.88447e-05	2.09627e-05	1.47491e-05	3.34417e-05	8.46884e-06	2.71985e-05	3.34123e-05	1.26162e-05	3.76344e-05	1.46613e-05	2.72355e-05	3.13152e-05	1.87844e-05	2.09071e-05	1.46484e-05	2.50819e-05	3.96838e-05	1.25776e-05	2.15759e-06	2.71414e-05	4.1785e-05	3.96313e-05	1.67457e-05	2.71818e-05	1.25769e-05	6.25723e-05	3.23345e-05	8.40677e-06	2.19515e-05	3.34251e-05	1.87712e-05	3.12924e-05	1.46299e-05	2.50292e-05	1.25125e-05	6.31655e-06	2.91544e-05	2.12421e-06	2.7106e-05	1.25396e-05	1.87683e-05	1.46249e-05	2.19093e-05	1.36834e-08	8.36008e-06	2.08438e-05	3.85334e-10	6.27595e-06	8.35225e-06	1.52771e-08	6.26438e-06	1.66735e-05	1.45712e-05
d3_2	0.0295193	1.06696e-05	1.69104e-05	1.48092e-05	2.51985e-05	2.72643e-05	8.55003e-06	1.27229e-05	6.48903e-06	1.27127e-05	3.77192e-05	6.41649e-06	1.68264e-05	1.89014e-05	3.97889e-05	4.80951e-05	4.80473e-05	2.72828e-05	3.98213e-05	3.34592e-05	4.3874e-05	1.05921e-05	1.82434e-07	2.10091e-05	1.88988e-05	1.47588e-05	4.80509e-05	2.71967e-05	2.51722e-05	2.09742e-05	3.55346e-05	2.93133e-05	2.71873e-05	4.58759e-05	3.34413e-05	1.88989e-05	2.93166e-05	3.9695e-05	1.88813e-05	1.261e-05	2.09055e-05	4.17084e-05	1.47065e-05	3.13595e-05	2.29583e-05	1.06246e-07	3.13216e-05	6.32546e-06	2.92602e-05	4.38826e-05	1.88196e-05	3.33859e-05	1.25532e-05	1.87936e-05	1.46771e-05	3.34077e-05	2.81819e-05	8.42319e-06	4.7936e-05	3.13484e-05	3.3379e-05	6.26937e-06	1.25034e-05	2.5004e-05	2.29538e-05	2.29371e-05	6.28097e-06	2.9343e-08	6.28318e-06	1.87728e-05	2.29668e-05	1.98191e-05	1.46232e-05	1.25418e-05	1.77147e-05	1.87547e-05	3.33566e-05	6.26944e-06	1.25131e-05	6.25765e-06	1.87527e-05	6.26397e-06	1.87483e-05
d3_3	0.0166025	6.45917e-06	1.47902e-05	1.89805e-05	1.68868e-05	6.48146e-06	2.51822e-05	5.64834e-05	1.27019e-05	2.51934e-05	3.04143e-05	3.87644e-05	4.3918e-05	1.47801e-05	1.47901e-05	1.05631e-05	3.14316e-05	4.81392e-05	2.09903e-05	2.72657e-05	3.56027e-05	2.30786e-05	2.09488e-05	4.80619e-05	2.61796e-05	3.75802e-05	1.68053e-05	3.34497e-05	2.51399e-05	3.13814e-05	3.55599e-05	3.66199e-05	3.55071e-05	2.51704e-05	2.09334e-05	3.13336e-05	1.88245e-05	2.30113e-05	1.88097e-05	6.04914e-05	5.01089e-05	2.09212e-05	1.98858e-05	2.09078e-05	1.88051e-05	2.50696e-05	3.54853e-05	6.27424e-06	2.29856e-05	1.67594e-05	3.33677e-05	2.71308e-05	1.88834e-05	2.9286e-05	3.12979e-05	2.08594e-05	1.8788e-05	4.06803e-05	1.46228e-05	3.64973e-05	1.87658e-05	1.87747e-05	3.34232e-05	2.08837e-05	4.89559e-05	2.08511e-05	6.30806e-06	4.58202e-05	2.91818e-05	1.8754e-05	2.50011e-05	2.08485e-05	6.25298e-06	1.25443e-05	6.27498e-06	6.24959e-06	2.08322e-05	6.29088e-06	6.25692e-06	2.41964e-08	8.34931e-06	1.25083e-05	1.25381e-05
d3_4	0.0105484	2.18412e-07	2.32367e-06	2.30977e-07	2.10871e-05	1.89751e-05	2.73055e-05	2.73164e-05	3.14739e-05	2.94037e-05	2.30865e-05	2.41564e-05	2.51915e-05	3.56145e-05	1.37375e-05	2.52101e-05	2.72142e-05	3.97298e-05	2.51923e-05	1.89365e-05	4.18468e-05	1.26475e-05	2.51696e-05	4.60123e-05	4.80932e-05	3.1404e-05	4.80234e-05	1.89198e-05	1.26671e-05	2.09312e-05	3.34759e-05	1.26649e-05	1.8855e-05	5.21626e-05	2.51559e-05	3.13845e-05	1.47272e-05	2.30571e-05	2.92995e-05	2.92603e-05	2.71927e-05	2.50726e-05	1.77906e-05	2.71844e-05	3.03195e-05	2.50551e-05	3.76323e-05	2.50845e-05	1.77875e-05	3.54819e-05	1.46673e-05	1.56553e-05	1.88083e-05	2.29865e-05	3.96352e-05	1.87938e-05	3.75611e-05	1.87701e-05	2.50851e-05	2.92164e-05	1.46197e-05	1.25565e-05	2.50205e-05	2.29906e-05	5.41292e-05	5.41734e-05	5.32058e-08	2.2954e-05	1.4637e-05	1.25364e-05	6.29246e-06	8.35449e-06	4.89598e-05	1.87767e-05	1.45866e-05	2.2919e-05	6.25231e-06	2.08323e-05	2.70844e-05	1.24997e-05	6.25415e-06	1.875e-05	2.4992e-05
d3_5	0.00708537	1.26956e-05	6.46354e-06	2.10194e-05	2.28591e-06	2.31545e-05	2.12585e-07	1.48289e-05	1.47957e-05	1.47871e-05	1.27284e-05	2.10436e-05	2.51552e-05	3.35353e-05	2.09997e-05	3.13957e-05	2.93515e-05	1.26375e-05	1.05825e-05	6.43658e-06	2.10291e-05	2.09748e-05	3.96703e-05	4.18099e-05	1.47751e-05	3.76442e-05	1.89153e-05	5.22278e-05	5.01022e-05	2.51044e-05	1.67714e-05	2.09725e-05	5.00812e-05	2.92862e-05	8.46981e-06	3.3518e-05	2.71968e-05	1.05037e-05	6.32128e-06	4.16654e-05	2.71625e-05	1.88332e-05	2.92535e-05	2.50988e-05	1.88448e-05	3.75866e-05	1.25972e-05	5.21539e-05	3.13422e-05	1.47089e-05	1.88533e-05	1.67908e-05	3.33921e-05	2.9232e-05	3.33871e-05	1.87933e-05	2.71644e-05	5.62702e-05	1.46465e-05	4.99975e-05	1.46251e-05	1.66857e-05	4.16931e-05	2.08454e-05	8.38129e-06	1.04758e-05	8.39447e-06	1.66815e-05	2.11861e-06	1.25367e-05	8.36598e-06	1.4599e-05	4.16528e-05	1.25131e-05	8.33568e-06	1.87515e-05	1.4588e-05	3.85063e-09	1.25438e-05	3.22636e-08	1.45849e-05	1.25131e-05	1.87598e-05
d3_6	0.00500368	1.47719e-05	2.10934e-05	1.89779e-05	1.48312e-05	1.26922e-05	1.89351e-05	8.57213e-06	1.27276e-05	2.72527e-05	3.35359e-05	2.30433e-05	3.97492e-05	2.30635e-06	2.72584e-05	7.47376e-06	2.72461e-05	1.26678e-05	2.09023e-07	2.41211e-05	1.89399e-05	2.3083e-05	3.66019e-05	5.84759e-05	3.55206e-05	3.34733e-05	3.97135e-05	4.59714e-05	3.97267e-05	1.26604e-05	1.46594e-05	1.47002e-05	2.82622e-05	2.71656e-05	3.34921e-05	2.72413e-05	1.25813e-05	1.88795e-05	3.35041e-05	6.35076e-06	2.9239e-05	2.71352e-05	3.35075e-05	2.30055e-05	4.17505e-05	2.30317e-05	1.46414e-05	2.09554e-05	6.34943e-06	2.08876e-05	3.75713e-05	9.10097e-08	3.33784e-05	1.46561e-05	2.50641e-05	5.21319e-05	3.02568e-05	3.54695e-05	1.88183e-05	3.75565e-05	2.71189e-05	1.87908e-05	2.50245e-05	5.90837e-08	2.18959e-05	1.04902e-05	3.33335e-05	5.41964e-05	2.50578e-05	3.12646e-05	8.34561e-06	1.87903e-05	2.70844e-05	1.46136e-05	6.28455e-06	6.26568e-06	1.25033e-05	1.25199e-05	2.08639e-05	6.29549e-06	1.6672e-05	1.11154e-10	8.32842e-06
d3_7	0.00360332	3.77142e-05	8.5603e-06	1.27489e-05	6.4545e-06	6.44466e-06	2.52219e-05	8.5143e-06	1.89394e-05	2.72829e-05	6.42789e-06	1.47827e-05	8.53309e-06	3.35181e-05	4.48963e-05	1.26475e-05	3.35841e-05	6.46368e-06	4.18249e-05	1.89478e-05	2.30719e-05	1.4752e-05	3.13852e-05	3.34908e-05	4.17881e-05	4.39097e-05	2.72266e-05	2.51771e-05	2.82766e-05	5.01028e-05	6.37602e-06	1.47448e-05	1.06359e-05	1.8862e-05	2.82168e-05	1.26194e-05	2.09076e-05	1.8858e-05	1.88521e-05	4.18321e-05	2.72026e-05	4.59242e-05	2.2999e-05	7.30008e-08	1.67648e-05	1.25529e-05	3.3378e-05	1.88335e-05	5.21002e-05	3.75159e-05	1.25689e-05	2.08811e-05	8.38733e-06	2.92299e-05	4.79796e-05	2.50646e-05	1.25597e-05	3.33631e-05	2.71151e-05	2.50402e-05	3.75164e-05	3.54579e-05	4.27165e-05	1.46459e-05	2.29832e-05	3.54393e-05	1.25422e-05	1.25222e-05	1.87916e-05	2.0862e-05	1.25314e-05	2.10856e-06	6.30095e-06	6.28456e-06	1.25118e-05	1.24931e-05	1.25144e-05	1.25199e-05	2.10413e-06	2.70933e-05	6.25192e-06	2.10125e-06	4.58324e-05
d3_8	0.00265305	2.73281e-05	2.29345e-06	6.41185e-06	3.35276e-05	1.89465e-05	3.76714e-05	6.4425e-06	3.97964e-05	1.90435e-07	2.31618e-05	8.50736e-06	5.01732e-05	1.68163e-05	1.47358e-05	4.80626e-05	1.26715e-05	1.49017e-07	1.46999e-05	2.51334e-05	2.10216e-05	1.89103e-05	1.89173e-05	4.80798e-05	4.17756e-05	1.26355e-05	2.09925e-05	3.3444e-05	1.88358e-05	6.88497e-05	1.15239e-07	3.13489e-05	4.38679e-05	3.13335e-05	1.261e-05	1.46539e-05	4.27948e-05	3.34158e-05	3.65443e-05	1.26175e-05	8.4367e-06	2.50544e-05	3.13562e-05	1.25614e-05	2.50973e-05	2.08566e-05	1.88307e-05	3.96686e-05	7.70921e-05	4.1707e-05	2.92353e-05	1.87829e-05	3.44165e-05	2.71768e-05	2.92154e-05	6.32489e-06	1.88008e-05	6.27264e-06	1.46433e-05	1.87838e-05	2.50606e-05	2.71082e-05	1.25237e-05	5.01893e-08	2.30214e-05	6.26767e-06	2.50316e-05	3.128e-05	4.17059e-05	6.28963e-06	2.50433e-05	1.87883e-05	2.04406e-08	6.29129e-06	6.27196e-06	2.08438e-05	1.89141e-08	2.29188e-05	3.97339e-08	2.56193e-08	6.24931e-06	0	2.6041e-05
d3_9	0.0019796	3.56579e-05	1.4786e-05	4.40654e-06	3.55901e-05	6.44971e-06	2.73101e-05	1.47546e-05	1.48223e-05	1.94261e-07	8.55132e-06	1.89122e-05	6.49053e-06	2.10474e-05	3.14089e-05	1.89063e-05	1.46992e-05	1.8917e-05	3.34816e-05	1.47335e-05	8.45209e-06	6.36006e-05	1.88737e-05	1.48202e-05	1.47434e-05	1.46499e-07	2.29809e-05	2.81933e-05	1.57576e-05	1.47468e-05	1.88687e-05	5.63809e-05	3.55441e-05	3.35105e-05	2.71534e-05	2.50754e-05	1.88491e-05	3.9692e-05	5.21857e-05	3.96974e-05	3.13376e-05	6.33369e-06	5.2183e-05	3.965e-05	1.46445e-05	3.75879e-05	4.58611e-05	1.87947e-05	1.46282e-05	1.25965e-05	2.09195e-05	1.46351e-05	8.44502e-06	2.82066e-05	3.96159e-05	2.50089e-05	2.5087e-05	3.75403e-05	3.44583e-05	1.25594e-05	6.31189e-06	3.54412e-05	2.09148e-05	6.29375e-06	2.71357e-05	1.25385e-05	6.29998e-06	1.87815e-05	1.46157e-05	1.25392e-05	6.27721e-06	3.33301e-05	6.28818e-06	2.49939e-05	1.25078e-05	1.6689e-05	7.3256e-06	8.33289e-06	1.87575e-05	1.4604e-05	1.25074e-05	2.51442e-08	2.08662e-05
