	d2_0	d2_1	d2_2	d2_3	d2_4	d2_5	d2_6	d2_7	d2_8	d2_9	d2_10	d2_11	d2_12	d2_13	d2_14	d2_15	d2_16	d2_17	d2_18	d2_19	d2_20	d2_21	d2_22	d2_23	d2_24	d2_25	d2_26	d2_27	d2_28	d2_29	d2_30	d2_31	d2_32	d2_33	d2_34	d2_35	d2_36	d2_37	d2_38	d2_39	d2_40	d2_41	d2_42	d2_43	d2_44	d2_45	d2_46	d2_47	d2_48	d2_49	d2_50	d2_51	d2_52	d2_53	d2_54	d2_55	d2_56	d2_57	d2_58	d2_59	d2_60	d2_61	d2_62	d2_63	d2_64	d2_65	d2_66	d2_67	d2_68	d2_69	d2_70	d2_71	d2_72	d2_73	d2_74	d2_75	d2_76	d2_77	d2_78	d2_79	d2_80	d2_81	d2_82
d3_0	0	0.090815	0.0444314	0.0292639	0.0214192	0.0167915	0.0139418	0.0117388	0.00995575	0.00878567	0.00769671	0.00714581	0.00641858	0.00578546	0.00548066	0.00494111	0.00477645	0.00448157	0.00406479	0.00384184	0.00370343	0.00363635	0.00328778	0.00334827	0.00301475	0.00284265	0.00276231	0.00276203	0.00260284	0.00256598	0.00242773	0.00218788	0.00226961	0.00217525	0.00211036	0.0020785	0.00202663	0.00193636	0.00183962	0.00195089	0.0017889	0.00177113	0.00154129	0.00145153	0.00149832	0.00146287	0.00134133	0.0012807	0.00133777	0.00131311	0.00123328	0.00124219	0.00117217	0.00102184	0.00124348	0.00117191	0.0010295	0.000971949	0.000931743	0.000940929	0.000903498	0.000907529	0.000797857	0.000866256	0.00082885	0.00080902	0.00086726	0.000669342	0.000724123	0.000708971	0.000598373	0.000631114	0.000510823	0.00051773	0.000507935	0.00056427	0.00057158	0.000466232	0.000457404	0.000472113	0.000473591	0.000395915	0.00239506
d3_1	0.0776088	3.08944e-05	1.9724e-05	2.45246e-05	3.11645e-05	3.45253e-05	1.81536e-05	1.82257e-05	2.20393e-05	1.9476e-05	3.08309e-05	2.6308e-05	2.71388e-05	1.46262e-05	1.9678e-05	2.97686e-05	2.20208e-05	2.64272e-05	2.72852e-05	1.51044e-05	2.11064e-05	1.05178e-05	3.02531e-05	3.63493e-05	1.72489e-05	1.51713e-05	2.61544e-05	2.06823e-05	2.17766e-05	1.271e-05	1.78223e-05	1.6957e-05	6.38301e-06	1.10362e-05	3.02514e-05	2.29058e-05	3.57937e-05	2.46111e-05	3.44712e-05	2.4495e-05	2.10388e-05	1.71656e-05	1.64993e-05	1.15491e-05	8.67393e-06	2.26686e-05	1.38519e-05	2.0494e-05	2.41435e-05	1.6639e-05	8.02681e-06	1.07253e-05	6.25194e-06	5.51238e-06	8.25967e-06	1.19804e-05	1.94035e-05	1.53766e-05	2.49474e-05	1.90613e-05	2.19243e-05	7.71547e-06	1.45366e-05	1.98757e-05	2.82966e-05	1.58007e-05	1.90147e-05	8.27873e-06	4.57221e-06	2.88209e-05	1.07798e-05	1.60667e-05	2.37045e-05	1.5234e-05	4.54229e-06	1.17359e-05	2.05427e-05	1.30996e-05	6.01751e-06	5.61959e-06	2.64276e-05	1.28122e-05	0.000108163
d3_2	0.0332583	2.68033e-05	3.54747e-05	1.74934e-05	4.73523e-05	3.19138e-05	1.69943e-05	9.91885e-06	1.46974e-05	1.09467e-05	1.04582e-05	1.70971e-05	3.29866e-05	3.22831e-05	3.40795e-05	1.85444e-05	3.08885e-05	2.78023e-05	2.67514e-05	1.88421e-05	3.80773e-05	1.89537e-05	4.01081e-05	2.67484e-05	1.44593e-05	2.56317e-05	1.40611e-05	2.33047e-05	2.86146e-05	3.95655e-05	2.62627e-05	2.57457e-05	2.13748e-05	1.48352e-05	2.11469e-05	3.39144e-05	1.44629e-05	2.71531e-05	2.30706e-05	2.90259e-05	2.02091e-05	9.48444e-06	2.28617e-05	1.71251e-05	3.34119e-05	2.19764e-05	1.42904e-05	3.01946e-05	1.9872e-05	1.49984e-05	1.39995e-05	1.85629e-05	1.92406e-05	9.82736e-06	4.2419e-06	1.65211e-05	1.60792e-05	1.96346e-05	1.51421e-05	1.85803e-05	1.23067e-05	1.2582e-05	5.69958e-06	2.43811e-05	2.87611e-05	9.17273e-06	2.21197e-05	2.2201e-05	6.3253e-06	2.22839e-05	1.51584e-05	1.00846e-05	1.2636e-05	1.20808e-05	1.45947e-05	1.30865e-05	2.41657e-06	6.70952e-07	1.25808e-05	2.38004e-05	1.39155e-05	1.60936e-05	0.000111075
d3_3	0.0190925	1.07174e-05	3.13646e-05	9.82152e-06	1.08425e-05	2.53283e-05	2.16629e-05	2.30821e-05	2.42791e-05	1.59936e-05	4.72486e-05	1.91766e-05	1.96885e-05	3.54231e-05	2.41444e-05	3.83863e-05	2.58378e-05	2.32767e-05	1.54061e-05	2.33113e-05	3.02808e-05	2.96117e-05	2.64863e-05	2.20163e-05	2.29015e-05	2.57731e-05	1.70388e-05	4.79842e-05	1.36552e-05	3.10431e-05	2.91863e-05	3.72874e-05	1.9743e-05	3.34612e-05	3.33188e-05	2.57911e-05	2.76888e-05	1.71932e-05	1.16917e-05	4.13584e-05	2.90176e-05	1.43996e-05	1.0429e-05	2.01324e-05	8.47054e-06	2.66706e-05	2.39238e-05	1.93284e-05	1.46022e-05	1.33924e-05	5.34181e-05	2.05076e-05	5.61096e-06	1.76732e-05	2.34268e-05	2.11943e-05	1.4956e-05	1.50195e-05	3.45925e-05	1.46627e-05	2.04722e-05	1.71455e-05	1.36585e-05	1.95801e-05	1.17806e-05	1.78148e-05	3.26445e-05	1.98368e-05	2.16508e-05	2.62695e-05	3.07904e-05	2.04989e-05	3.47651e-05	6.94533e-07	2.00876e-05	2.64804e-05	5.78593e-06	4.5676e-06	6.50976e-06	1.30872e-05	4.36791e-06	4.70392e-06	6.27881e-05
d3_4	0.0123893	2.14058e-05	2.26652e-05	2.10035e-05	3.48044e-05	3.59247e-05	1.77457e-05	5.48094e-05	1.27852e-05	2.83834e-05	1.0272e-05	1.40095e-05	2.83745e-05	1.02068e-05	3.46455e-05	2.39247e-05	3.2468e-05	3.42639e-05	4.93329e-05	8.48918e-06	8.90612e-06	3.6206e-05	2.54575e-05	3.69036e-05	2.13188e-05	8.87149e-06	4.74797e-05	2.41234e-05	2.81955e-05	1.16896e-05	1.41411e-05	4.33385e-05	3.04109e-05	3.28902e-05	1.97212e-05	3.02888e-05	1.23141e-05	2.9544e-05	2.7064e-05	5.806e-05	3.02134e-05	1.53288e-05	3.46702e-05	2.56756e-05	3.72196e-06	2.87502e-05	4.54223e-05	2.72266e-05	1.57978e-05	1.36945e-05	2.30978e-06	3.47615e-05	3.13307e-05	1.11077e-05	1.99342e-05	1.05194e-05	1.06735e-05	1.5046e-05	1.47374e-05	2.64184e-05	1.87406e-05	1.91791e-05	1.17375e-05	1.34853e-05	1.6112e-05	2.67583e-05	1.09935e-05	2.22906e-05	1.97063e-05	1.64342e-05	1.66134e-05	5.48322e-06	2.68379e-06	7.17995e-06	1.96177e-05	2.61495e-06	1.95013e-05	1.4099e-05	1.78753e-05	2.07901e-05	2.07994e-05	1.38629e-05	7.57716e-05
d3_5	0.00855985	2.07336e-05	1.68732e-05	2.68556e-05	2.18634e-05	3.49337e-05	1.54471e-05	1.44901e-05	3.33184e-05	3.60942e-05	1.81193e-05	3.2653e-05	1.39921e-05	1.8013e-05	2.13141e-05	3.36629e-05	1.37077e-05	2.73675e-05	2.69251e-05	3.03047e-05	2.59842e-05	1.57666e-05	3.49838e-05	3.00744e-05	1.05845e-05	2.06497e-05	2.92146e-05	2.56065e-05	2.7644e-05	1.82087e-05	1.67409e-05	1.63961e-05	1.82124e-05	3.92264e-05	1.0664e-05	2.03576e-05	1.02429e-05	3.44195e-05	1.71236e-05	1.63352e-05	4.67406e-05	4.08831e-05	1.16053e-05	1.20524e-05	1.84234e-05	1.72173e-05	1.4308e-05	2.45517e-05	2.14237e-05	2.8181e-05	1.68239e-05	2.2764e-05	1.32216e-05	2.05998e-05	6.72934e-06	1.64381e-05	1.29215e-05	2.47906e-05	7.56664e-06	1.71229e-05	1.72661e-05	8.51925e-06	1.34778e-05	1.28157e-05	2.05549e-05	1.58867e-06	2.4747e-05	2.08118e-05	5.32389e-06	9.87795e-06	1.59784e-05	9.27614e-06	2.48703e-05	2.23905e-05	5.35154e-06	3.03795e-05	1.31017e-05	1.56681e-05	2.46618e-05	4.26695e-06	2.30932e-05	1.39078e-05	0.000128181
d3_6	0.00620558	2.47325e-05	1.99546e-05	2.04164e-05	8.71386e-06	6.84817e-06	2.15501e-05	2.08862e-05	2.72563e-05	2.67194e-05	2.7062e-05	3.00994e-05	2.8985e-05	2.52353e-05	1.3479e-05	2.61434e-05	3.14617e-05	3.60571e-05	5.48364e-05	1.27788e-05	2.57546e-05	2.48366e-05	1.25907e-05	1.30875e-05	2.15914e-05	3.25478e-05	2.55816e-05	3.1012e-05	2.55938e-05	3.15342e-05	1.05664e-05	9.95235e-06	1.48976e-05	2.21177e-05	3.22685e-05	1.39875e-05	2.3288e-05	5.07806e-05	2.19888e-05	2.7991e-05	1.87702e-05	1.22064e-05	1.38476e-05	2.41345e-05	3.72451e-05	3.11894e-05	1.98188e-05	1.28693e-05	2.63477e-05	1.66202e-05	1.68208e-05	1.10718e-05	1.20039e-05	3.25229e-05	1.61454e-05	2.90478e-05	1.81006e-05	1.52242e-05	2.17245e-05	2.85927e-05	9.84101e-06	1.1205e-05	3.32073e-05	2.95123e-06	1.06015e-05	1.98857e-05	1.96151e-05	1.96899e-05	2.49103e-05	2.13558e-05	1.05216e-05	9.9816e-07	1.46696e-05	1.23921e-05	2.0978e-05	1.88123e-05	1.46261e-05	1.36224e-05	1.15557e-05	9.82425e-06	1.9059e-05	1.43576e-05	9.18011e-05
d3_7	0.00469115	3.0142e-05	3.53368e-05	3.0623e-05	3.52308e-05	2.44756e-05	3.66048e-05	3.59141e-05	5.70372e-06	1.61833e-05	3.15755e-05	9.78007e-06	2.87957e-05	2.30458e-05	2.49236e-05	4.22e-05	2.56699e-05	4.67473e-05	2.84622e-05	2.83681e-05	4.26961e-05	1.98357e-05	1.96765e-05	1.82138e-05	3.48715e-05	2.16812e-05	7.97635e-06	3.75331e-05	3.94049e-05	1.65902e-05	3.34817e-05	2.64235e-05	4.13473e-05	2.44207e-05	1.80805e-05	2.42442e-05	2.36889e-05	2.16063e-05	2.42375e-05	2.87609e-05	1.18834e-05	3.97601e-06	3.15234e-05	1.38275e-05	2.39004e-05	1.64845e-05	2.69502e-05	3.22778e-05	2.74328e-05	2.54576e-05	5.85599e-05	6.43164e-06	1.4846e-05	2.03827e-05	2.29112e-05	3.58293e-05	3.32822e-05	1.8804e-05	3.0222e-05	2.02739e-05	2.28828e-05	6.68478e-06	2.18588e-05	2.25752e-05	1.08112e-05	2.09196e-05	1.12376e-05	1.25878e-05	2.5813e-05	1.0585e-05	2.26526e-05	4.58724e-05	1.05015e-05	5.08267e-06	1.23045e-05	1.40478e-05	1.06533e-05	1.4064e-05	6.72037e-06	1.04564e-05	1.34677e-05	4.38607e-06	0.00010831
d3_8	0.0035954	1.57039e-05	4.14714e-05	1.80527e-05	1.10783e-05	2.29271e-05	1.568e-05	3.43803e-05	2.50988e-05	1.82906e-05	2.95548e-05	1.97992e-05	2.12408e-05	2.77819e-05	5.92609e-06	1.57482e-05	3.4919e-05	2.85566e-05	3.52476e-05	1.66657e-05	1.74636e-05	3.30031e-05	1.58052e-05	1.16646e-05	2.55869e-05	1.0725e-05	2.30407e-05	2.62173e-05	1.72958e-05	2.38214e-05	2.43976e-05	3.23257e-05	2.85757e-05	3.3647e-05	3.7832e-05	3.64869e-05	2.3562e-05	1.17955e-05	1.621e-05	4.9935e-05	3.30225e-05	2.77313e-05	2.70414e-05	2.29745e-05	2.31719e-05	1.77654e-05	1.9751e-05	2.55232e-05	1.3949e-05	2.10535e-05	1.938e-05	3.02794e-05	2.68515e-05	2.60592e-05	2.89165e-05	1.43165e-05	3.64067e-05	1.6759e-05	6.68086e-06	1.607e-05	2.88094e-05	2.62739e-05	1.57099e-05	3.2656e-05	1.63116e-05	1.20825e-05	2.82242e-05	2.03398e-05	2.74489e-05	1.13798e-05	2.20223e-05	1.58429e-05	1.89166e-05	8.28869e-06	1.98828e-05	2.17016e-05	1.13043e-05	8.88359e-06	1.23503e-05	1.7781e-05	4.95481e-06	2.48602e-05	7.20807e-05
d3_9	0.0028037	2.37512e-05	2.51464e-05	6.05303e-06	3.81609e-05	2.89437e-05	2.02533e-05	3.08397e-05	2.04981e-05	2.14908e-05	2.71597e-05	3.4045e-05	1.44815e-05	3.11526e-05	1.9029e-05	3.29143e-05	2.1239e-05	1.38475e-05	2.64914e-05	1.49747e-05	3.11587e-05	1.51187e-05	2.56855e-05	2.37252e-05	2.79636e-05	3.43311e-05	2.71424e-05	1.59321e-05	3.47972e-05	9.68099e-06	3.33553e-05	3.12892e-05	3.66597e-05	1.54697e-05	2.41067e-05	2.34377e-05	1.00142e-05	2.97409e-05	3.41877e-05	1.9329e-05	2.10282e-05	2.33361e-05	1.40425e-05	2.76797e-05	2.79473e-05	3.81227e-05	1.70526e-05	4.55491e-05	1.54325e-05	1.74932e-05	3.30574e-05	2.39051e-05	1.52867e-05	2.85957e-05	2.08822e-05	2.03344e-05	2.91779e-05	2.2779e-05	2.57645e-05	2.9839e-05	2.07458e-05	2.80097e-05	1.50094e-05	1.36524e-05	2.48122e-05	1.23249e-05	1.12211e-05	1.74414e-05	4.99961e-06	2.52476e-05	2.1133e-05	1.98238e-05	5.28286e-06	9.52274e-06	1.33524e-05	1.82535e-05	1.3434e-05	1.1385e-05	6.80068e-07	8.25407e-06	6.34913e-06	6.03204e-06	9.39657e-05
