	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	d0_81	d0_82	d0_83	d0_84	d0_85	d0_86	d0_87	d0_88	d0_89	d0_90	d0_91	d0_92	d0_93	d0_94
d2_0	0	0.00918682	0.00509681	0.00390038	0.00312443	0.00275398	0.00253861	0.00209688	0.00189512	0.00193919	0.00180898	0.00170477	0.00158929	0.00149536	0.00164077	0.00152615	0.00144664	0.00142953	0.00152368	0.00127058	0.00138793	0.00138467	0.00128958	0.00128856	0.00140644	0.00141216	0.00124141	0.00131422	0.00119796	0.00131921	0.00136895	0.00135837	0.00123677	0.00108731	0.0011201	0.0011762	0.00120668	0.00121846	0.00117092	0.00135217	0.00113181	0.00113199	0.0012226	0.00122186	0.00119841	0.00115961	0.00104732	0.00120767	0.00104754	0.00103784	0.00118092	0.00114805	0.00106223	0.00121778	0.0011075	0.00117128	0.00110599	0.00121394	0.00107324	0.0011174	0.00104622	0.00118863	0.00108933	0.00106059	0.00105261	0.00106234	0.00102703	0.00116309	0.000928282	0.00114724	0.00101079	0.00106298	0.000874914	0.00105672	0.00110106	0.00103784	0.00100415	0.00119557	0.00101146	0.00107428	0.0010073	0.000960523	0.000892027	0.00107773	0.00103698	0.000949458	0.00107781	0.00086474	0.00104793	0.000895272	0.00109042	0.000993783	0.00101383	0.00105415	0.100143
d2_1	0.112782	2.48503e-05	5.74664e-06	9.58733e-06	5.18452e-09	1.72101e-05	1.92914e-06	1.92352e-06	1.20265e-08	9.60918e-09	5.7579e-06	1.14789e-05	5.75207e-06	1.1477e-05	1.14735e-05	1.81628e-05	5.74672e-06	1.91163e-05	5.73989e-06	1.3387e-05	1.72016e-05	1.91401e-05	1.33964e-05	2.29382e-05	1.33842e-05	1.72087e-05	7.67425e-06	5.10851e-09	1.48185e-08	1.9117e-05	1.49478e-08	1.33924e-05	1.91588e-05	1.15026e-05	3.83623e-06	1.14713e-05	1.33802e-05	5.7409e-06	1.71991e-05	2.48433e-05	5.7521e-06	1.34002e-05	7.65383e-06	2.4851e-05	4.32905e-09	9.57527e-06	1.72057e-05	5.74596e-06	1.14889e-05	7.65488e-06	1.33932e-05	1.05181e-05	2.29541e-05	2.48521e-05	1.14801e-05	1.93184e-06	5.74301e-06	1.92837e-06	7.65614e-06	5.73136e-06	7.6525e-06	1.03358e-08	1.33879e-05	1.53074e-05	5.74369e-06	2.11436e-08	1.33843e-05	7.64138e-06	1.34003e-05	1.14769e-05	2.6924e-08	1.14574e-05	1.33849e-05	7.66117e-06	5.73611e-06	1.14699e-05	1.14601e-05	1.14825e-05	1.33871e-05	1.72068e-05	1.34006e-05	7.65906e-06	5.73768e-06	2.79957e-08	5.75171e-06	3.82061e-05	1.14696e-05	7.66673e-06	1.33907e-05	6.33362e-06	1.14795e-05	8.16795e-09	5.73945e-06	5.74222e-06	0.0013907
d2_2	0.0459227	7.66496e-06	5.74642e-06	2.03887e-08	5.75236e-06	1.72054e-05	7.66303e-06	1.33926e-05	5.74064e-06	1.34039e-05	1.10546e-08	5.75155e-06	7.66984e-06	5.75017e-06	1.92991e-06	1.91109e-05	2.86835e-05	7.65199e-06	5.7377e-06	1.14688e-05	5.74133e-06	1.18333e-08	1.90958e-06	1.72036e-05	1.33947e-05	1.45368e-08	1.72058e-05	1.9118e-05	5.73831e-06	1.14918e-05	1.14668e-05	5.74065e-06	6.12881e-10	5.74154e-06	1.14634e-05	5.7288e-06	1.91367e-05	5.75972e-06	1.89013e-08	5.75103e-06	1.7211e-05	7.65665e-06	1.53032e-05	3.82238e-05	1.14828e-05	1.39604e-08	8.52341e-09	1.22415e-08	1.91227e-05	7.65398e-06	7.68056e-06	5.73328e-06	1.14713e-05	1.14961e-05	9.02836e-09	5.75143e-06	5.75537e-06	1.9251e-06	1.91212e-05	7.65725e-06	7.66382e-06	1.14638e-05	1.14647e-05	1.1477e-05	5.74185e-06	7.663e-06	1.1487e-05	5.75238e-06	4.79392e-06	3.83198e-06	7.64695e-06	2.29306e-05	1.91155e-05	5.74246e-06	1.92352e-06	1.5309e-05	1.52955e-05	7.64316e-06	7.65221e-06	5.75645e-06	1.05852e-08	7.66409e-06	1.14713e-05	2.48616e-05	5.73456e-06	1.92379e-06	5.75161e-06	1.92847e-06	1.34e-05	1.33905e-05	2.10286e-05	1.4598e-08	1.14874e-05	7.64856e-06	0.00131913
d2_3	0.0253739	1.33799e-05	1.14687e-05	1.33958e-05	1.33848e-05	2.10628e-05	5.73812e-06	1.72058e-05	2.48554e-05	1.14923e-05	1.14879e-05	1.72153e-05	1.38657e-08	1.14732e-05	1.92958e-06	8.4818e-09	1.14783e-05	2.28324e-08	1.92274e-06	5.75263e-06	1.52972e-05	9.57601e-06	2.29269e-05	1.91956e-06	1.5302e-05	1.9128e-05	1.72162e-05	1.72139e-05	1.91092e-05	1.71984e-05	2.48499e-05	7.66413e-06	5.73723e-06	7.66427e-06	7.64786e-06	1.93185e-06	1.22859e-08	5.73968e-06	8.62076e-06	2.48531e-05	5.73514e-06	2.2927e-05	7.6606e-06	1.14693e-05	5.74021e-06	8.62209e-06	7.66143e-06	7.65633e-06	5.73495e-06	1.92545e-06	1.1485e-05	1.92667e-06	2.33143e-08	1.19087e-08	2.10307e-05	7.65317e-06	1.99811e-08	1.33896e-05	1.91483e-06	1.9126e-05	1.3393e-05	1.72006e-05	5.75043e-06	1.33876e-05	5.74002e-06	5.74719e-06	1.33906e-05	1.14785e-05	2.00727e-05	5.74033e-06	1.33908e-05	9.5947e-06	1.91605e-06	1.14754e-05	4.61486e-09	1.72115e-05	1.14657e-05	5.74943e-06	1.14727e-05	5.74277e-06	1.72095e-05	1.14929e-05	1.71996e-05	1.72097e-05	1.14606e-05	7.65635e-06	5.73527e-06	1.14834e-05	7.11436e-09	7.583e-09	5.73968e-06	1.72323e-05	2.29554e-05	1.14741e-05	0.0011901
d2_4	0.0158195	7.65968e-06	5.74732e-06	9.47167e-09	1.14695e-05	2.67496e-05	1.93033e-06	1.91385e-05	1.43347e-05	5.75013e-06	1.91237e-05	3.05947e-05	1.14663e-05	1.91299e-05	7.65689e-06	1.34134e-05	5.74313e-06	1.71978e-05	1.31994e-08	1.14923e-05	5.73823e-06	1.33886e-05	1.14672e-05	7.65704e-06	1.52921e-05	5.75587e-06	1.33798e-05	1.72083e-05	1.72044e-05	7.65563e-06	5.75033e-06	1.14852e-05	1.93024e-06	9.37059e-09	9.57945e-06	9.56763e-06	1.31894e-08	4.57899e-09	1.33835e-05	6.2526e-09	5.75168e-06	5.75682e-06	1.91179e-05	5.74666e-06	1.42171e-08	1.14828e-05	1.72421e-05	5.73343e-06	1.38228e-08	7.15474e-09	5.74626e-06	5.75629e-06	1.92963e-06	2.29269e-05	7.64365e-06	9.56129e-06	1.3399e-05	2.48591e-05	9.56468e-06	1.72331e-05	1.33947e-05	1.14594e-05	1.53071e-05	2.32648e-08	9.57442e-06	5.73242e-06	1.72048e-05	1.53072e-05	1.14944e-05	5.73798e-06	1.3393e-05	5.74423e-06	1.91156e-05	5.73356e-06	1.91149e-05	1.91203e-05	5.75639e-06	7.66206e-06	5.74536e-06	1.91895e-06	3.83278e-06	5.73867e-06	5.73844e-06	2.01716e-08	5.7355e-06	2.48633e-05	1.03166e-08	7.65506e-06	1.05193e-05	1.33855e-05	4.8944e-09	8.58243e-09	4.70697e-10	1.72215e-05	0.00126553
d2_5	0.0106948	1.96506e-08	5.74836e-06	7.65654e-06	1.14927e-05	1.91431e-05	1.53057e-05	1.72213e-05	9.57738e-06	1.33921e-05	1.14763e-05	1.33972e-05	5.73624e-06	5.73899e-06	1.33815e-05	1.33981e-05	7.59459e-09	1.93877e-06	5.74782e-06	1.93011e-06	1.14703e-05	3.13901e-09	1.33928e-05	7.65309e-06	7.65728e-06	1.37037e-08	5.74231e-06	1.33779e-05	9.19207e-09	1.71982e-05	1.1475e-05	1.0055e-08	1.71954e-05	1.92608e-06	1.53013e-05	1.3374e-05	1.1486e-05	5.73059e-06	8.79669e-10	8.6399e-09	5.7528e-06	5.74485e-06	1.14959e-05	5.74475e-06	1.14885e-05	5.73652e-06	1.79667e-08	1.72186e-05	1.91886e-06	4.77046e-09	1.14905e-05	1.91915e-06	1.72155e-05	8.62079e-06	1.14794e-05	1.3294e-08	1.14668e-05	5.73544e-06	7.65569e-06	1.34022e-05	1.14542e-05	1.92972e-06	1.14768e-05	1.33784e-05	1.14844e-05	6.10778e-09	2.29257e-05	2.10273e-05	5.73596e-06	1.14786e-05	7.65251e-06	1.3384e-05	1.92999e-06	1.74377e-08	2.18771e-09	9.80005e-09	5.73857e-06	1.14618e-05	1.34071e-05	2.67437e-05	1.92001e-06	2.4857e-05	5.74632e-06	1.92429e-06	3.83004e-06	1.14679e-05	5.73042e-06	1.71896e-05	5.73969e-06	1.92639e-06	1.34038e-05	1.72148e-05	5.74022e-06	3.83817e-06	0.00125974
d2_6	0.00779875	7.62166e-09	5.72952e-06	1.91346e-05	1.7189e-05	1.33934e-05	5.75867e-06	1.52917e-05	1.72061e-05	2.2919e-05	1.14714e-05	5.75114e-06	1.91221e-05	5.73948e-06	2.29491e-05	5.74326e-06	1.33894e-05	1.33973e-05	8.80674e-09	7.65902e-06	5.74089e-06	5.73717e-06	1.33927e-05	1.14913e-05	7.66961e-06	1.14749e-05	1.33806e-05	1.72067e-05	1.33816e-05	6.66557e-09	6.70392e-09	1.71932e-05	7.30568e-09	5.75139e-06	9.56054e-06	1.92368e-06	1.71921e-05	2.10408e-05	5.75353e-06	5.74289e-06	7.67032e-06	1.33731e-05	5.74823e-06	1.9263e-06	2.48411e-05	1.14732e-05	7.66175e-06	5.75147e-06	5.74174e-06	1.68009e-08	1.14721e-05	1.91187e-05	5.7445e-06	5.75491e-06	1.91355e-06	9.45363e-09	5.75306e-06	5.7424e-06	1.05608e-08	2.10153e-05	9.56263e-06	5.13259e-09	3.2477e-05	5.74829e-06	1.34008e-05	1.92359e-06	2.10333e-05	1.14697e-05	9.57222e-06	1.14726e-05	5.19736e-09	7.66864e-06	7.65941e-06	1.92105e-06	1.92806e-06	7.65063e-06	5.74051e-06	3.63004e-05	7.6687e-06	9.5712e-06	7.65215e-06	1.7208e-05	5.74061e-06	5.75521e-06	1.14678e-05	1.14781e-05	5.7386e-06	1.1488e-05	1.33958e-05	5.75004e-06	1.14793e-05	1.33869e-05	9.5636e-06	2.86756e-05	0.00148525
d2_7	0.00559925	1.36584e-08	8.30036e-09	1.34009e-05	1.14803e-05	1.72154e-05	3.05958e-05	2.29653e-05	5.74035e-06	1.93837e-06	6.65391e-09	5.73792e-06	8.57888e-10	2.00735e-05	1.92975e-06	7.65673e-06	5.76143e-06	3.05983e-05	1.17041e-08	3.44139e-05	1.14726e-05	2.2946e-05	2.4857e-05	5.7449e-06	7.66424e-06	1.35089e-08	1.14732e-05	1.91131e-05	1.14973e-05	5.75074e-06	1.14941e-05	2.10196e-05	7.64696e-06	5.75057e-06	3.84072e-06	5.73892e-06	1.9229e-06	1.94266e-06	1.33886e-05	9.58307e-06	7.66173e-06	1.33742e-05	5.73769e-06	2.10746e-08	1.92573e-06	5.75234e-06	1.72195e-05	3.83329e-06	1.33806e-05	1.72123e-05	5.74136e-06	1.14598e-05	7.67218e-06	1.92324e-06	1.14183e-08	5.75126e-06	1.14563e-05	1.72053e-05	1.14829e-05	1.14719e-05	1.33966e-05	1.5292e-05	7.65323e-06	7.45273e-09	5.73832e-06	8.21728e-09	2.86669e-05	1.16047e-08	9.57293e-06	5.73802e-06	5.75313e-06	1.92096e-06	2.21137e-08	1.94701e-09	1.72035e-05	3.24259e-09	5.74312e-06	2.29279e-05	1.24392e-05	1.23646e-08	7.64996e-06	1.91122e-05	7.66054e-06	1.34062e-05	1.92516e-06	1.14666e-05	1.53045e-05	5.73698e-06	5.72662e-06	7.65739e-06	6.85484e-10	1.62573e-05	5.73456e-06	1.14807e-05	0.00156946
d2_8	0.00455011	1.33956e-05	5.74345e-06	1.42036e-08	5.74484e-06	1.70191e-08	5.74348e-06	1.92004e-06	1.14901e-05	1.91127e-05	1.72209e-05	7.6449e-06	1.91249e-05	5.73824e-06	5.74248e-06	1.45029e-08	1.91091e-05	5.76136e-06	5.74622e-06	1.14659e-05	1.3398e-05	5.74169e-06	5.73785e-06	1.14633e-05	2.48454e-05	6.84303e-09	1.33891e-05	1.59142e-08	1.14618e-05	1.14746e-05	1.14724e-05	5.74752e-06	1.14675e-05	1.44371e-10	2.48568e-05	1.50922e-08	9.56977e-06	2.29657e-05	5.75697e-06	5.73976e-06	3.8347e-06	1.72189e-05	1.91368e-05	1.5094e-08	5.74371e-06	1.48245e-08	9.57506e-06	9.56238e-06	5.73934e-06	5.73598e-06	3.8392e-06	5.73834e-06	9.3039e-09	6.29634e-09	3.856e-06	1.91221e-05	2.48473e-05	1.28142e-08	7.64677e-06	7.6781e-06	7.66966e-06	9.56221e-06	5.74888e-06	1.14697e-05	1.14735e-05	1.91192e-05	2.22654e-08	2.48548e-05	7.66032e-06	1.14812e-05	5.21059e-09	5.7456e-06	3.05987e-05	7.65246e-06	1.9211e-06	2.48932e-05	9.5731e-06	1.53196e-05	5.75849e-06	1.09362e-08	5.75292e-06	7.66451e-06	5.75334e-06	1.91231e-05	5.28319e-09	7.65817e-06	1.14682e-05	1.14865e-05	1.14682e-05	5.75019e-06	8.43273e-09	1.92664e-06	1.91342e-05	1.14758e-05	0.00146914
d2_9	0.00364017	1.1488e-05	9.55134e-06	5.74849e-06	5.76172e-06	5.73088e-06	1.89072e-08	5.74731e-06	6.94468e-10	5.74458e-06	7.64828e-06	1.14797e-05	1.94021e-06	1.33889e-05	1.72122e-05	8.6054e-06	1.53118e-05	7.65845e-06	5.74881e-06	3.2503e-05	1.14822e-05	1.33693e-05	5.73743e-06	1.53073e-05	1.9127e-05	1.33734e-05	1.19573e-08	1.41353e-08	2.48601e-05	1.14665e-05	5.74504e-06	1.92737e-06	7.67082e-06	1.92276e-06	5.75544e-06	7.50954e-09	2.48755e-05	1.1459e-05	5.75483e-06	1.71998e-05	2.00794e-05	1.91229e-05	1.94547e-06	1.91197e-05	7.65308e-06	1.9109e-05	8.58187e-09	1.92582e-06	1.91127e-05	1.14809e-05	5.74602e-06	7.65961e-06	1.33883e-05	1.14587e-05	7.66999e-06	2.51949e-08	9.56715e-06	2.20068e-09	2.29177e-05	2.88284e-06	1.14846e-05	2.48521e-05	1.34019e-05	5.75089e-06	5.75177e-06	5.73448e-06	9.57169e-06	3.05842e-05	1.43352e-05	1.14786e-05	1.72191e-05	1.34023e-05	1.14687e-05	1.14707e-05	1.14732e-05	5.7389e-06	1.33842e-05	7.65001e-06	5.73377e-06	1.33963e-05	5.74848e-06	9.60362e-09	7.64675e-06	1.9113e-05	5.99829e-10	5.73669e-06	7.64496e-06	1.9262e-06	1.53042e-05	1.14705e-05	2.10142e-05	1.14692e-05	2.10276e-05	1.91289e-06	0.00125229
