	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62	d1_63	d1_64	d1_65	d1_66	d1_67	d1_68	d1_69	d1_70	d1_71	d1_72	d1_73	d1_74	d1_75	d1_76	d1_77	d1_78	d1_79	d1_80	d1_81	d1_82	d1_83	d1_84	d1_85	d1_86	d1_87	d1_88	d1_89	d1_90	d1_91	d1_92	d1_93	d1_94	d1_95	d1_96	d1_97	d1_98
d3_0	0	0.119643	0.0593418	0.039089	0.0287906	0.0217104	0.0175337	0.0141718	0.0120326	0.00998993	0.00825277	0.00693344	0.00626947	0.00512806	0.00438593	0.00399107	0.00330014	0.00282079	0.00231336	0.00208625	0.00198982	0.00156454	0.00139709	0.00129718	0.00092511	0.000958701	0.000777862	0.000660795	0.0007007	0.000542596	0.000354642	0.000349779	0.000360672	0.000286665	0.000133391	0.000181161	0.000129306	0.000182342	0.000149735	0.000112574	0.000175256	9.53157e-05	5.62612e-05	0.00011484	8.22535e-05	5.76527e-05	0.000102159	4.714e-05	2.48234e-05	6.34641e-06	3.27344e-05	6.29169e-06	2.04693e-05	1.23724e-05	1.43147e-05	3.26373e-05	2.04418e-05	1.43161e-05	1.3341e-05	8.17704e-06	1.83576e-05	6.16519e-06	1.22297e-05	6.10405e-06	8.16512e-06	1.22178e-05	6.13575e-06	6.12436e-06	8.48465e-09	1.15203e-09	2.27261e-09	2.69501e-09	1.33596e-09	1.21354e-09	6.09601e-06	7.42647e-10	1.69071e-10	2.41969e-09	1.13699e-09	1.08391e-10	1.25868e-10	2.53479e-09	0	1.22433e-10	0	6.28857e-11	3.51672e-11	7.66389e-11	0	0	0	0	0	0	0	0	0	0	0
d3_1	0.0682467	4.52947e-05	0.000100217	6.0445e-05	3.32282e-05	3.91648e-05	4.51491e-05	3.09472e-05	6.34306e-05	5.32513e-05	6.949e-05	4.92241e-05	4.70931e-05	3.18976e-05	3.2831e-05	6.73901e-05	2.66807e-05	2.87736e-05	5.11443e-05	4.30018e-05	3.38229e-05	2.87478e-05	3.88872e-05	3.88505e-05	4.59914e-05	2.26084e-05	4.69877e-05	3.27601e-05	6.53187e-05	2.66189e-05	2.25642e-05	1.4385e-05	2.45031e-05	3.26346e-05	1.84329e-05	3.46805e-05	8.93689e-08	3.05835e-05	8.23027e-06	2.45198e-05	2.85411e-05	6.1799e-06	3.97296e-08	5.39091e-08	1.94227e-05	1.43084e-05	6.15368e-06	2.64893e-05	1.83421e-05	2.44538e-05	1.22399e-05	1.22233e-05	6.15694e-06	1.22313e-05	2.56342e-08	8.18043e-06	3.29859e-08	1.22132e-05	6.13742e-06	6.12901e-06	1.29105e-08	1.22422e-05	2.04624e-06	9.15177e-06	2.32543e-09	1.22001e-05	1.11166e-08	1.2679e-08	2.13222e-09	6.1149e-06	9.23622e-09	1.14802e-08	1.01813e-05	8.27089e-09	1.97647e-09	6.10986e-06	1.27216e-09	4.53421e-10	2.16667e-09	1.35738e-09	2.07306e-09	2.79521e-11	3.88071e-11	7.79572e-09	0	6.10033e-12	0	2.49174e-09	0	0	0	0	0	0	0	0	0	0	0
d3_2	0.0290669	5.9485e-05	3.70739e-05	5.33065e-05	6.35002e-05	6.44442e-05	6.34852e-05	3.29162e-05	5.32076e-05	2.06969e-05	3.95995e-05	5.12277e-05	2.07182e-05	3.89525e-05	2.6731e-05	3.0813e-05	3.88815e-05	4.90287e-05	2.66811e-05	4.29905e-05	5.41488e-05	1.24496e-05	1.84508e-05	2.87294e-05	2.05135e-05	3.27582e-05	1.85196e-05	1.64631e-05	2.25125e-05	2.65789e-05	1.64199e-05	6.69375e-05	4.69333e-05	3.27124e-05	2.04742e-05	3.26403e-05	6.21359e-06	1.02505e-05	3.46729e-05	7.06717e-08	2.44963e-05	1.22972e-05	1.83767e-05	3.46038e-08	1.02466e-05	2.44947e-05	1.83765e-05	6.16079e-06	6.48972e-08	1.22526e-05	6.15175e-06	2.82041e-08	1.02045e-05	3.60077e-08	2.44447e-05	4.03026e-08	1.36099e-08	1.22077e-05	3.17337e-08	8.32689e-09	4.78812e-09	1.09377e-08	1.16716e-08	1.18788e-08	7.13583e-06	1.25486e-08	2.03742e-06	4.21103e-09	2.19768e-08	1.68495e-10	3.32876e-09	1.37338e-09	6.09814e-06	8.14519e-10	3.36526e-09	6.11152e-06	1.59283e-10	0	1.90104e-09	5.71887e-11	2.98959e-09	5.86579e-12	0	5.31781e-11	1.49028e-10	1.13672e-10	4.53067e-12	1.92046e-09	1.60313e-09	0	0	0	0	0	0	0	0	0	0
d3_3	0.0163998	5.03381e-05	8.39383e-05	6.05325e-05	4.7199e-05	3.2927e-05	3.08918e-05	4.71708e-05	4.09908e-05	4.71305e-05	5.32345e-05	6.85683e-05	5.93497e-05	3.28689e-05	4.30447e-05	3.49023e-05	3.28101e-05	3.28717e-05	4.6994e-05	7.14988e-05	4.09158e-05	2.66764e-05	3.28089e-05	5.11586e-05	2.45677e-05	1.2389e-05	3.68175e-05	6.83549e-05	2.45471e-05	1.23174e-05	2.04893e-05	4.08505e-05	2.86558e-05	2.05071e-05	1.22948e-05	3.27188e-05	2.04533e-05	2.7548e-05	1.84061e-05	6.23209e-06	1.53363e-05	1.23215e-05	3.25947e-05	6.18755e-06	6.12134e-06	1.43301e-05	1.22862e-05	4.25617e-08	6.09053e-08	1.22447e-05	6.12143e-06	6.14845e-06	6.1427e-06	6.12489e-06	2.06983e-06	3.58344e-08	6.96361e-08	6.13208e-06	3.61508e-08	1.02246e-05	8.1521e-06	1.53885e-08	6.11778e-06	2.0279e-08	8.24558e-09	4.10399e-09	1.66776e-08	6.115e-06	6.12769e-06	6.51014e-09	6.15416e-09	4.49312e-09	6.13798e-06	1.34147e-09	3.31655e-09	6.11445e-06	1.63294e-08	8.26144e-11	5.8831e-10	6.11728e-06	2.19271e-09	1.58649e-11	5.74485e-09	1.73077e-09	7.01793e-11	3.71386e-11	2.49548e-11	2.18724e-08	3.19761e-11	1.73951e-09	1.29716e-10	0	0	0	0	0	0	0	1.66101e-08
d3_4	0.0104869	2.58444e-05	3.50208e-05	5.93442e-05	3.70432e-05	5.73228e-05	2.67693e-05	6.54963e-05	2.47892e-05	6.54608e-05	6.13188e-05	5.12069e-05	2.67956e-05	3.0815e-05	3.89664e-05	3.07969e-05	1.45007e-05	4.71062e-05	4.30202e-05	5.31985e-05	5.1082e-05	4.49777e-05	3.48559e-05	4.49843e-05	2.46354e-05	4.28987e-05	5.51008e-05	1.49571e-07	2.66171e-05	3.37311e-05	3.26852e-05	1.65176e-05	3.27183e-05	6.20206e-06	2.65767e-05	5.50619e-05	6.21655e-06	3.06012e-05	1.4392e-05	1.83956e-05	1.84052e-05	1.22928e-05	2.6542e-05	1.84029e-05	1.8395e-05	2.65425e-05	6.17075e-06	1.83855e-05	2.65291e-05	1.43076e-05	5.84969e-08	1.2239e-05	1.42915e-05	1.83845e-05	7.12395e-08	2.40885e-08	2.97258e-08	6.14793e-06	2.34185e-08	1.2225e-05	3.69241e-08	8.16065e-06	8.1573e-06	1.52981e-05	1.38559e-08	6.1252e-06	1.31667e-08	6.10672e-06	1.51669e-08	1.84728e-10	8.79885e-09	6.10492e-06	2.90102e-09	2.11639e-08	2.38126e-08	2.32196e-09	8.15178e-06	5.32461e-10	6.09609e-06	1.83597e-10	1.21488e-10	2.16436e-09	7.38047e-10	1.08314e-08	0	1.74263e-09	3.07658e-11	1.02228e-10	0	1.08397e-10	1.53716e-09	0	0	0	8.14118e-06	0	0	0	0
d3_5	0.00706771	2.48009e-05	2.68595e-05	3.29383e-05	3.69874e-05	9.8026e-05	4.3076e-05	4.71563e-05	4.31654e-05	4.10577e-05	2.67496e-05	7.36165e-05	2.67226e-05	1.5491e-05	4.71521e-05	7.35388e-05	3.90212e-05	5.31959e-05	3.27973e-05	2.2673e-05	3.17706e-05	5.51399e-05	2.26255e-05	4.6106e-05	1.84525e-05	4.49815e-05	7.54764e-05	4.49292e-05	4.08844e-05	1.43976e-05	6.24122e-06	1.23454e-05	2.65635e-05	3.67316e-05	8.27264e-06	2.45355e-05	2.25099e-05	3.06675e-05	4.89349e-05	6.2442e-06	1.83902e-05	2.04491e-05	3.06044e-05	8.22042e-06	2.04488e-05	1.84086e-05	1.83921e-05	1.43203e-05	1.22717e-05	1.83644e-05	5.78535e-08	1.83789e-05	1.22745e-05	1.42775e-05	6.16926e-06	1.42608e-05	1.83617e-05	6.14792e-06	8.15611e-06	2.44769e-05	2.06631e-06	1.22303e-05	8.1889e-06	1.22726e-05	1.22607e-05	3.98276e-08	6.13036e-06	2.07973e-08	4.43279e-09	1.22127e-05	1.84699e-08	1.80283e-08	1.09276e-08	1.81742e-09	6.11024e-06	6.80827e-09	1.58981e-08	7.29222e-10	9.66264e-10	2.10337e-09	2.14151e-09	3.66301e-09	9.1174e-11	1.1967e-09	6.10332e-06	1.42885e-09	0	3.64466e-10	1.12501e-09	3.2126e-09	0	1.334e-09	8.75104e-10	0	0	0	0	0	0
d3_6	0.00500902	3.69798e-05	3.89803e-05	5.12053e-05	8.44345e-06	5.52473e-05	5.73566e-05	5.32027e-05	4.70938e-05	2.47558e-05	4.00241e-05	3.69062e-05	3.07898e-05	3.28732e-05	1.96369e-05	3.69399e-05	3.68921e-05	4.2963e-05	5.10709e-05	2.46671e-05	6.42922e-05	3.48198e-05	2.16624e-05	3.69174e-05	5.71576e-05	3.48371e-05	5.10796e-05	2.25563e-05	7.34292e-05	5.30782e-05	4.08318e-05	3.67744e-05	4.5028e-05	4.90348e-05	1.84531e-05	4.89578e-05	1.43633e-05	3.26475e-05	4.89454e-05	1.43416e-05	2.04776e-05	1.22426e-05	2.24669e-05	2.12226e-06	1.2289e-05	8.20352e-06	1.43653e-05	8.21991e-06	2.13469e-06	5.7792e-08	6.15842e-06	1.43069e-05	6.16018e-06	1.22491e-05	1.22697e-05	2.92035e-08	1.22461e-05	1.42594e-05	4.12382e-08	8.18348e-06	6.1444e-06	1.59295e-08	8.1619e-06	1.95201e-08	8.15924e-06	6.11996e-06	3.03762e-08	1.42688e-05	2.96238e-08	1.4617e-08	2.30428e-08	2.0371e-05	1.04438e-08	7.07958e-09	1.222e-05	4.7931e-09	2.58028e-09	1.22144e-05	1.64724e-09	6.11121e-06	2.28456e-10	9.85374e-09	8.1339e-06	6.36032e-10	5.75676e-10	0	2.22673e-11	0	2.82733e-09	4.38675e-11	6.92716e-09	1.64324e-09	0	4.66778e-11	0	0	0	0	0
d3_7	0.00364213	2.48081e-05	4.71018e-05	2.67548e-05	4.50921e-05	3.09261e-05	4.40833e-05	3.89983e-05	5.32462e-05	4.91327e-05	1.45621e-05	3.89579e-05	3.6921e-05	8.16815e-05	2.3068e-06	3.59456e-05	4.91024e-05	2.67622e-05	2.46731e-05	1.44908e-05	3.27032e-05	3.47356e-05	8.36527e-05	3.27948e-05	1.65179e-05	4.49374e-05	3.89074e-05	4.4947e-05	2.3568e-05	2.65858e-05	2.66241e-05	2.66105e-05	1.23044e-05	3.47083e-05	2.65773e-05	3.87641e-05	1.43806e-05	2.45261e-05	2.18601e-06	6.24061e-06	1.43676e-05	1.23291e-05	3.26705e-05	9.64406e-08	6.17495e-06	1.84029e-05	8.2316e-06	8.21444e-06	1.42963e-05	8.53906e-08	2.24388e-05	2.14062e-05	1.43107e-05	1.83562e-05	1.02327e-05	9.20199e-06	1.22356e-05	6.13986e-06	8.1713e-06	8.53919e-09	1.42496e-05	1.38185e-08	6.10949e-06	6.13521e-06	3.35562e-08	2.11688e-08	8.16468e-06	2.95241e-08	1.17166e-08	8.14409e-06	8.14973e-06	3.93229e-09	1.20125e-08	1.01517e-08	2.05583e-06	2.02423e-09	7.84867e-09	2.07132e-10	3.47889e-10	6.11559e-06	6.09395e-06	1.22343e-05	1.34828e-08	6.0964e-06	8.18133e-11	1.33583e-09	1.26133e-08	9.1612e-06	6.1082e-06	8.19151e-12	1.53728e-08	6.09859e-06	1.34454e-11	0	0	0	0	4.39954e-11	0
d3_8	0.0026566	4.81532e-05	1.45636e-05	6.94874e-05	5.11934e-05	3.28498e-05	3.89876e-05	4.91134e-05	4.51098e-05	3.48256e-05	3.2435e-05	3.68814e-05	2.67108e-05	2.67005e-05	4.39975e-05	5.1142e-05	4.49949e-05	3.89082e-05	1.45176e-05	3.4886e-05	3.28287e-05	5.51468e-05	6.13488e-05	4.49696e-05	3.07455e-05	7.44737e-05	1.4416e-05	4.9019e-05	2.04634e-05	5.10642e-05	1.44337e-05	2.65491e-05	2.25492e-05	2.65927e-05	1.23104e-05	2.66394e-05	2.65636e-05	3.47294e-05	9.27173e-06	4.08176e-05	1.23187e-05	1.43564e-05	2.65639e-05	1.18553e-07	2.86079e-05	2.10202e-06	2.03995e-05	3.05996e-05	2.04342e-05	1.22652e-05	1.2282e-05	6.14795e-06	1.83713e-05	1.83452e-05	6.14887e-06	1.8372e-05	1.83635e-05	9.38766e-09	2.44476e-05	2.40761e-05	5.70573e-08	2.05156e-06	8.17506e-06	6.13317e-06	1.65072e-08	3.77418e-08	1.42581e-05	1.22227e-05	3.56102e-08	2.64834e-05	2.81832e-08	8.1611e-06	6.10685e-06	2.04211e-05	7.1843e-09	2.9289e-08	1.80827e-08	9.91505e-09	1.03816e-08	1.38372e-08	8.44406e-09	1.74234e-08	1.67728e-09	1.65328e-10	9.33061e-10	0	1.33826e-08	6.10075e-06	1.00238e-10	1.02925e-10	6.48983e-11	1.34676e-09	0	2.14117e-09	0	0	1.36729e-08	1.22067e-09	0
d3_9	0.0019692	2.47133e-05	1.24514e-05	2.26263e-05	2.47059e-05	3.28014e-05	4.50045e-05	3.28832e-05	6.34929e-06	3.99951e-05	3.89822e-05	4.4098e-05	4.29681e-05	4.7086e-05	3.69866e-05	1.85677e-05	3.28366e-05	3.07157e-05	3.27901e-05	5.72971e-05	2.46808e-05	3.48682e-05	2.46609e-05	4.69777e-05	4.19328e-05	3.48744e-05	2.87192e-05	2.25759e-05	3.88353e-05	2.8624e-05	8.32318e-06	4.29018e-05	3.0612e-05	3.67905e-05	2.05453e-05	6.23002e-06	3.67866e-05	2.66057e-05	2.04689e-05	1.84074e-05	1.84332e-05	3.37488e-05	1.4334e-05	6.19233e-06	1.84121e-05	2.9558e-05	1.4302e-05	3.4681e-05	2.65239e-05	2.65127e-05	6.17474e-06	3.66896e-05	6.18789e-06	1.22769e-05	6.13681e-06	8.19311e-06	5.30435e-08	1.42856e-05	2.04247e-05	8.21349e-06	6.14324e-06	4.04357e-08	6.12006e-06	2.08673e-06	1.83033e-05	1.22521e-05	6.13096e-06	1.70368e-08	6.13955e-06	1.38875e-08	2.07911e-08	3.22981e-08	2.38468e-09	2.19166e-08	2.12645e-08	1.61281e-08	6.11806e-06	6.86656e-09	6.13039e-06	1.71062e-08	4.82795e-09	6.10256e-06	3.6249e-09	3.90586e-09	3.93175e-09	8.13244e-06	1.48684e-11	1.9872e-09	0	7.28498e-10	0	0	3.88022e-11	2.7429e-11	0	4.72431e-11	0	2.17235e-11	0
