NPOPA$	NPOPB$	NPOPC$	NPOPD$	NPOPE$	NG4	NG2	NG1	NG3	TE$	TED$	TDC$	TCB$	TBA$	ASY	aAYS	TF$	TD$	TC$	TB$	TA$	MaxEstLhood	MaxObsLhood
169247	311	434439	1210	151	293853	436335	31980	544857	49726	108	2880	2695	7705	0.0577182	0.9422818	49725	49834	52714	55409	63114	-483897.775	-483353.906
169247	311	2995662	1210	161	293853	436335	31980	544857	49727	123	2880	28729	7705	0.0608485	0.9391515	49726	49850	52730	81459	89164	-485385.960	-484843.396
169247	311	72481	1210	186	293853	436335	31980	544857	49726	134	2880	1094	7705	0.0551232	0.9448768	49725	49860	52740	53834	61539	-477612.389	-477111.474
169247	329	8307	1210	178	293853	436335	31980	544857	49726	127	2880	4206	7705	0.0564251	0.9435749	49725	49853	52733	56939	64644	-489400.047	-488910.608
169247	311	24997	1210	205	293853	436335	31980	544857	49726	150	2880	8482	7705	0.0589745	0.9410255	49725	49876	52756	61238	68943	-477860.432	-477334.731
169247	311	309261	1210	168	293853	436335	31980	544857	49726	120	2880	9845	7705	0.0579522	0.9420478	49725	49846	52726	62571	70276	-479498.916	-478989.431
169247	293	4896447	1210	158	293853	436335	31980	544857	49726	116	2880	60346	7705	0.0580388	0.9419612	49725	49842	52722	113068	120773	-467091.866	-466610.932
169247	311	7557748	1210	150	293853	436335	31980	544857	49726	107	2880	173	7705	0.0602120	0.9397880	49725	49833	52713	52886	60591	-472596.852	-471997.603
169247	311	4680926	1210	162	293853	436335	31980	544857	49726	117	2880	37328	7705	0.0579783	0.9420217	49725	49843	52723	90051	97756	-483856.668	-483328.340
169247	311	9125069	1210	144	293853	436335	31980	544857	49726	110	2880	11577	7705	0.0605788	0.9394212	49725	49836	52716	64293	71998	-477137.866	-476616.196
169247	311	149793	1210	196	293853	436335	31980	544857	49726	141	2880	7922	7705	0.0591241	0.9408759	49725	49867	52747	60669	68374	-480498.068	-479949.389
169247	311	275830	1210	164	293853	436335	31980	544857	49726	116	2880	1001	7705	0.0574043	0.9425957	49725	49842	52722	53723	61428	-476813.191	-476294.330
169247	311	1500880	1210	147	293853	436335	31980	544857	49726	106	2880	6245	7705	0.0569621	0.9430379	49725	49832	52712	58957	66662	-480813.603	-480297.758
169247	311	333022	1210	145	293853	436335	31980	544857	49726	111	2880	12342	7705	0.0573949	0.9426051	49725	49837	52717	65059	72764	-484605.946	-484099.852
169247	276	358130	1210	180	293853	436335	31980	544857	49726	123	2880	3223	6885	0.0558362	0.9441638	49725	49849	52729	55952	62837	-477615.555	-477177.978
169247	311	46487	1210	170	293853	436335	31980	544857	49726	126	2880	1748	7705	0.0558631	0.9441369	49725	49852	52732	54480	62185	-479029.446	-478587.266
169247	311	693487	1210	194	293853	436335	31980	544857	49726	132	2880	54024	7705	0.0518966	0.9481034	49725	49858	52738	106762	114467	-484375.795	-483845.836
169247	311	815613	1210	158	293853	436335	31980	544857	49726	116	2880	49095	7705	0.0534835	0.9465165	49725	49842	52722	101817	109522	-479611.973	-479179.714
169247	311	85094	1210	164	293853	436335	31980	544857	49727	123	2880	579	7705	0.0568359	0.9431641	49726	49850	52730	53309	61014	-476201.174	-475744.172
169247	311	3188824	1210	161	293853	436335	31980	544857	49726	118	2880	5843	7705	0.0548924	0.9451076	49725	49844	52724	58567	66272	-481726.397	-481242.858
169247	311	7634	1210	176	293853	436335	31980	544857	49726	121	2880	2636	7705	0.0537577	0.9462423	49725	49847	52727	55363	63068	-470529.434	-470025.567
169247	311	2995662	1210	184	293853	436335	31980	544857	49726	135	2880	616	7705	0.0558130	0.9441870	49725	49861	52741	53357	61062	-478942.087	-478461.196
169247	274	3492777	1210	202	293853	436335	31980	544857	49726	146	2880	28753	6986	0.0546006	0.9453994	49725	49872	52752	81505	88491	-474579.071	-474070.473
169247	311	85750	1210	156	293853	436335	31980	544857	49726	114	2880	1563	7705	0.0544518	0.9455482	49725	49840	52720	54283	61988	-477572.857	-477118.318
169247	329	19136	1210	178	293853	436335	31980	544857	49726	135	2880	9325	7705	0.0566921	0.9433079	49725	49861	52741	62066	69771	-487113.952	-486650.789
169247	311	14965	1210	150	293853	436335	31980	544857	49726	105	2877	2289	7705	0.0530984	0.9469016	49725	49831	52708	54997	62702	-478980.000	-478441.057
169247	311	5504045	1210	164	293853	436335	31980	544857	49727	117	2880	4319	7705	0.0568359	0.9431641	49726	49844	52724	57043	64748	-481605.892	-481041.773
169247	311	1167771	1210	143	293853	436335	31980	544857	49726	108	2880	10296	7705	0.0565817	0.9434183	49725	49834	52714	63010	70715	-479844.325	-479310.863
169247	311	2026552	1210	159	293853	436335	31980	544857	49726	117	2880	8737	7705	0.0515173	0.9484827	49725	49843	52723	61460	69165	-476144.497	-475601.375
169247	311	166262	1210	194	293853	436335	31980	544857	49726	146	2873	27118	7705	0.0546946	0.9453054	49725	49872	52745	79863	87568	-476777.837	-476308.089
169247	311	599442	1210	197	293853	436335	31980	544857	49726	158	2880	17466	7705	0.0540700	0.9459300	49725	49884	52764	70230	77935	-479723.292	-479223.278
169247	311	3320532	1210	161	293853	436335	31980	544857	49726	116	2880	15346	7705	0.0578632	0.9421368	49725	49842	52722	68068	75773	-482164.321	-481690.767
169247	311	25912683	1210	150	293853	436335	31980	544857	49726	113	2880	16394	7705	0.0545475	0.9454525	49725	49839	52719	69113	76818	-478598.574	-478060.858
169247	311	7670074	1210	154	293853	436335	31980	544857	49726	114	2880	2543	7705	0.0591394	0.9408606	49725	49840	52720	55263	62968	-481464.155	-480990.660
169247	311	2114463	1210	164	293853	436335	31980	544857	49726	115	2880	36668	7705	0.0579180	0.9420820	49725	49841	52721	89389	97094	-488001.622	-487451.321
169247	311	108945	1210	162	293853	436335	31980	544857	49726	122	2880	4539	7705	0.0562678	0.9437322	49725	49848	52728	57267	64972	-478019.856	-477494.024
169247	329	47971	1210	173	293853	436335	31980	544857	49726	133	2880	802	7705	0.0532869	0.9467131	49725	49859	52739	53541	61246	-484834.253	-484317.979
169247	311	2249940	1210	173	293853	436335	31980	544857	49728	123	2880	4727	7705	0.0568359	0.9431641	49727	49851	52731	57458	65163	-481165.354	-480576.598
169247	311	61758	1210	182	293853	436335	31980	544857	49726	132	2880	383	7705	0.0560310	0.9439690	49725	49858	52738	53121	60826	-477230.862	-476740.479
169247	311	1210933	1210	192	293853	436335	31980	544857	49726	131	2877	4398	7705	0.0538943	0.9461057	49725	49857	52734	57132	64837	-478297.954	-477763.357
169247	311	2057623	1210	161	293853	436335	31980	544857	49726	117	2880	16109	7705	0.0592019	0.9407981	49725	49843	52723	68832	76537	-483872.333	-483419.404
169247	311	3210730	1210	190	293853	436335	31980	544857	49726	144	2880	24480	7705	0.0574854	0.9425146	49725	49870	52750	77230	84935	-480177.514	-479692.775
169247	311	18434	1210	192	293853	436335	31980	544857	49726	134	2880	1826	7705	0.0563028	0.9436972	49725	49860	52740	54566	62271	-477473.566	-476964.943
169247	311	273168	1210	161	293853	436335	31980	544857	49726	118	2880	26811	7705	0.0558530	0.9441470	49725	49844	52724	79535	87240	-477111.190	-476637.526
169247	311	53570	1210	154	293853	436335	31980	544857	49726	119	2880	26681	7705	0.0540520	0.9459480	49725	49845	52725	79406	87111	-474525.714	-474018.959
169247	311	2165046	1210	162	293853	436335	31980	544857	49726	117	2880	32306	7705	0.0600001	0.9399999	49725	49843	52723	85029	92734	-481645.759	-481094.875
169247	311	149919	1210	158	293853	436335	31980	544857	49726	113	2880	76033	7705	0.0549366	0.9450634	49725	49839	52719	128752	136457	-479804.080	-479267.290
169247	311	146898	1210	134	293853	436335	31980	544857	49726	104	2880	6623	7705	0.0559479	0.9440521	49725	49830	52710	59333	67038	-474305.222	-473838.558
169247	311	18875858	1210	154	293853	436335	31980	544857	49726	108	2880	1451	7705	0.0532469	0.9467531	49725	49834	52714	54165	61870	-481404.451	-480896.755
169247	311	13276095	1210	179	293853	436335	31980	544857	49726	126	2880	1380	7705	0.0565431	0.9434569	49725	49852	52732	54112	61817	-478453.833	-477947.784
169247	293	317488	1210	157	293853	436335	31980	544857	49726	113	2877	6614	7043	0.0557028	0.9442972	49725	49839	52716	59330	66373	-485569.829	-485058.513
169247	311	47098	1210	191	293853	436335	31980	544857	49726	141	2880	516	7705	0.0572241	0.9427759	49725	49867	52747	53263	60968	-476615.048	-476114.996
169247	311	7014458	1210	168	293853	436335	31980	544857	49726	128	2880	42542	7705	0.0558359	0.9441641	49725	49854	52734	95276	102981	-481602.975	-481045.638
169247	311	85094	1210	172	293853	436335	31980	544857	49727	123	2880	765	7705	0.0568359	0.9431641	49726	49850	52730	53495	61200	-482920.390	-482418.414
169247	311	2444113	1210	203	293853	436335	31980	544857	49726	146	2880	2055	7705	0.0544833	0.9455167	49725	49872	52752	54807	62512	-476478.540	-475972.351
169247	311	63025	1210	198	293853	436335	31980	544857	49726	133	2880	35311	7705	0.0562923	0.9437077	49725	49859	52739	88050	95755	-477616.799	-477152.489
