	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62	d1_63	d1_64	d1_65	d1_66	d1_67	d1_68	d1_69	d1_70	d1_71	d1_72	d1_73	d1_74	d1_75	d1_76	d1_77	d1_78	d1_79	d1_80	d1_81	d1_82	d1_83	d1_84	d1_85	d1_86	d1_87	d1_88	d1_89	d1_90	d1_91	d1_92	d1_93	d1_94	d1_95	d1_96	d1_97	d1_98
d2_0	0	0.0730926	0.0310138	0.017656	0.0111384	0.00792672	0.00566428	0.0043345	0.0033914	0.00270779	0.00219645	0.00189301	0.00171279	0.00143132	0.00127871	0.00109089	0.00102931	0.000913882	0.000792187	0.000825628	0.000780973	0.000750323	0.00075618	0.000715618	0.000689065	0.000572238	0.000602526	0.000619965	0.000631384	0.000566787	0.00055799	0.000542428	0.000571213	0.000640334	0.000524198	0.00045246	0.000639631	0.000448154	0.000541159	0.000502326	0.000481164	0.000494408	0.000505853	0.00043209	0.000432295	0.000417659	0.000361961	0.000441328	0.000549317	0.000525404	0.000376496	0.000522925	0.000377248	0.000331367	0.000360051	0.000346965	0.000484551	0.000439799	0.000450341	0.000438944	0.000296342	0.000380628	0.000488409	0.000388987	0.000351168	0.000364121	0.000452231	0.000536882	0.000391849	0.000412276	0.000407461	0.000365848	0.000402098	0.000355376	0.000310797	0.000276093	0.000334756	0.000418711	0.000346377	0.000340966	0.000291543	0.000432789	0.000359998	0.000322417	0.000345311	0.000309492	0.000324623	0.000450499	0.000365774	0.000403179	0.000407822	0.000338003	0.000408718	0.000502178	0.000601142	0.000450906	0.000609791	0.000734361	0.0353727
d2_1	0.0404122	2.65048e-05	2.0618e-05	2.64705e-05	3.52967e-05	9.28306e-08	8.86741e-06	2.65222e-05	8.84511e-06	2.64986e-05	5.93704e-08	1.46899e-05	9.85576e-08	1.41678e-09	8.90258e-06	4.86656e-08	8.95564e-06	3.84887e-08	3.55072e-08	7.31931e-08	8.50613e-08	3.00756e-06	8.8686e-06	1.20762e-07	8.93324e-06	1.04437e-07	7.87122e-08	1.78147e-05	5.85862e-08	1.76911e-05	4.73022e-08	2.64511e-05	3.34528e-08	1.18244e-05	8.84835e-06	8.88366e-06	1.70315e-09	4.43647e-08	6.06744e-08	8.91167e-06	1.19949e-07	1.76535e-05	1.30935e-07	1.17659e-05	3.60138e-08	4.2406e-08	8.248e-08	1.76744e-05	3.00984e-06	1.04347e-07	8.78242e-06	8.85293e-08	8.86603e-06	6.18921e-08	8.87914e-06	1.76782e-05	8.83938e-06	8.87711e-06	8.97545e-06	3.23188e-05	1.76396e-05	1.3246e-05	2.76927e-08	4.13076e-08	7.17595e-08	1.18453e-07	1.76316e-05	5.64156e-08	8.86756e-06	8.11792e-08	1.77159e-05	6.04765e-06	1.17955e-05	8.84506e-06	1.17674e-05	1.18208e-05	8.89861e-06	8.81382e-06	7.94196e-08	1.76934e-05	6.82076e-08	8.82151e-06	8.89923e-06	1.77071e-05	7.83264e-08	8.84169e-06	1.18916e-07	1.76126e-05	1.86762e-07	8.80479e-06	1.74595e-07	1.18835e-05	8.87109e-06	2.30935e-07	2.07006e-05	8.95167e-06	1.79447e-05	4.99633e-05	0.00130025
d2_2	0.0210545	1.1781e-05	1.18766e-05	1.76713e-05	1.77745e-05	1.76864e-05	3.8212e-05	1.46431e-07	3.05299e-06	1.77263e-05	9.024e-06	1.3299e-07	8.86371e-06	8.88208e-06	5.49758e-08	4.61703e-08	3.08782e-06	5.99237e-08	8.92659e-06	2.9868e-06	6.14354e-08	1.76797e-05	1.29744e-07	8.86963e-06	8.80647e-06	8.86599e-06	1.188e-05	1.76482e-05	3.4522e-08	3.53233e-05	8.8409e-06	8.81192e-06	8.83718e-06	1.77762e-05	6.7896e-08	1.24135e-07	2.13086e-07	8.16713e-08	8.9652e-06	1.76788e-05	8.88823e-06	1.75932e-05	3.3099e-08	8.81129e-06	1.77626e-05	1.61168e-07	1.51637e-08	1.18542e-05	8.90558e-06	1.49312e-07	2.6415e-05	1.56471e-07	8.91838e-06	1.17665e-05	1.0329e-07	1.17778e-05	8.87852e-06	9.00072e-08	5.05849e-08	8.87188e-06	8.86778e-06	8.86894e-06	1.09862e-07	1.77621e-05	3.06963e-06	8.81818e-06	2.05972e-05	1.81349e-08	2.06105e-05	1.77034e-05	8.91453e-06	4.14464e-08	8.94231e-06	8.90116e-06	1.76956e-05	8.85231e-06	2.17321e-08	8.90499e-06	1.7644e-05	1.18129e-05	8.93194e-06	1.17671e-05	1.24575e-07	8.9659e-06	8.83988e-06	1.08301e-07	1.7609e-05	1.76553e-05	1.95236e-07	8.84692e-06	1.29379e-07	8.8725e-06	8.96525e-06	1.78242e-05	1.77484e-05	2.05823e-05	1.78529e-05	2.07462e-05	0.00160366
d2_3	0.0150001	5.29251e-05	9.41988e-08	8.9153e-06	3.0954e-06	1.76588e-05	1.76618e-05	2.5225e-08	8.94542e-06	8.82075e-06	7.47803e-06	1.77591e-05	7.78524e-08	3.53668e-05	1.05904e-07	6.66647e-08	1.76906e-05	8.83914e-06	1.19577e-07	5.87014e-08	8.86841e-06	9.51211e-08	1.77407e-05	1.77384e-05	1.20135e-05	8.88364e-06	1.77257e-05	1.18869e-05	8.89511e-06	7.3862e-08	3.03795e-06	8.88353e-06	1.93975e-07	8.8929e-06	3.06064e-06	8.80959e-06	8.83371e-06	2.65195e-05	3.10434e-06	8.83774e-06	6.93951e-09	8.89944e-06	8.89774e-06	1.1797e-05	2.64433e-05	8.92143e-06	2.64896e-05	6.46747e-08	3.1096e-08	1.18561e-05	5.94089e-08	8.8519e-06	1.76778e-05	7.9379e-08	2.99559e-06	8.88137e-06	1.76504e-05	8.8969e-06	3.23956e-08	4.09118e-08	8.90338e-06	8.86571e-06	8.90729e-06	1.03511e-07	8.85012e-06	8.92977e-06	2.07535e-05	4.48902e-08	7.63609e-08	8.89968e-06	3.52799e-05	1.18811e-05	8.86851e-06	8.84075e-06	2.65181e-05	2.64852e-05	8.92941e-06	8.83175e-06	1.73022e-07	1.76764e-05	8.93202e-06	5.95247e-08	1.06687e-07	1.18682e-05	1.76878e-05	4.6333e-08	1.76983e-05	1.76115e-05	8.89935e-06	1.77343e-05	1.77785e-05	6.99183e-08	2.65568e-05	3.52772e-05	9.06245e-06	3.84433e-05	1.79275e-05	4.44456e-05	0.00174131
d2_4	0.0115919	3.53206e-05	2.94676e-05	3.52367e-05	2.65083e-05	2.94429e-05	2.94998e-05	2.63894e-05	6.60849e-08	8.89458e-06	2.35245e-05	1.77195e-05	1.7727e-05	2.63563e-05	1.76739e-05	1.06029e-07	8.9706e-06	6.00469e-08	8.89505e-06	4.47287e-08	2.64787e-05	1.18504e-05	8.09283e-08	2.9427e-05	2.64667e-05	2.55437e-09	1.76853e-05	8.8405e-06	1.19171e-07	4.65471e-08	8.92469e-06	3.05899e-08	5.12552e-08	1.7649e-05	2.64906e-05	2.30459e-08	9.7555e-08	8.94283e-06	1.77047e-05	6.82494e-08	8.92473e-06	2.64805e-05	8.81925e-06	2.65285e-05	2.94388e-05	8.89245e-06	1.20199e-07	8.89735e-06	1.76903e-05	5.23935e-08	1.25254e-07	1.18623e-05	2.93844e-05	8.91584e-06	9.91252e-08	4.55834e-08	8.96148e-06	3.07397e-08	1.17532e-05	8.84761e-06	1.75789e-07	8.90445e-06	8.96201e-06	1.99318e-08	2.06648e-05	4.20257e-08	3.23233e-05	7.82615e-08	8.81585e-06	6.66068e-08	3.52624e-05	5.61187e-10	5.3791e-08	1.76526e-05	1.93697e-08	5.09742e-08	8.85491e-06	8.89384e-06	6.22736e-08	1.77085e-05	8.86015e-06	8.87617e-06	1.76322e-05	2.06047e-05	8.7077e-08	1.76254e-05	8.79102e-08	1.76762e-05	1.27769e-07	5.98966e-08	8.99775e-06	1.76987e-05	1.25996e-07	1.77471e-05	2.14428e-07	3.5363e-05	9.05993e-06	1.791e-05	0.00154128
d2_5	0.00941311	6.17023e-05	1.17826e-05	3.5215e-05	2.93855e-05	1.77502e-05	8.87468e-06	1.77326e-05	2.65541e-05	8.86394e-06	2.06239e-05	1.18038e-05	2.05979e-05	2.06887e-05	1.15128e-07	1.77361e-05	8.78628e-06	7.41305e-08	6.8605e-08	3.82777e-05	1.77173e-05	1.76773e-05	8.96213e-06	4.74981e-08	1.76779e-05	1.17608e-05	1.17363e-05	2.37822e-08	8.88926e-06	8.89534e-06	9.76983e-08	3.06043e-06	2.65517e-05	1.76524e-05	1.89509e-07	5.29205e-08	8.86981e-06	8.869e-06	3.15159e-08	1.77581e-05	8.92213e-06	3.05782e-08	8.9903e-06	8.3031e-08	6.14624e-08	1.6739e-09	1.18762e-07	1.77627e-05	3.0229e-06	3.08101e-06	1.76316e-05	1.77203e-05	1.76545e-05	8.83643e-06	1.17824e-05	1.76327e-05	6.12544e-08	5.45261e-08	7.31251e-08	8.94841e-06	2.65155e-05	9.05649e-06	8.84183e-06	7.71509e-08	3.08324e-08	8.8404e-06	8.85395e-06	2.64782e-05	8.83013e-06	3.08681e-08	1.6512e-07	5.19622e-08	1.77893e-05	1.76547e-05	1.76387e-05	6.21158e-08	8.9253e-06	5.2232e-08	8.89605e-06	8.94594e-06	1.77169e-05	2.64182e-05	2.93541e-05	5.42826e-08	4.41138e-05	8.85955e-06	2.65448e-05	2.21659e-05	1.45927e-07	8.86314e-06	1.77304e-05	1.77473e-05	1.32743e-07	5.54196e-08	2.96174e-05	2.95812e-05	9.05543e-06	3.54889e-05	0.00164904
d2_6	0.0082151	2.64759e-05	5.57898e-05	1.7689e-05	8.94857e-06	2.06733e-05	8.81429e-06	4.01993e-08	8.5613e-08	2.64635e-05	8.91781e-06	2.21311e-05	1.92195e-07	2.64551e-05	1.76899e-05	4.40252e-05	2.65385e-05	2.97858e-06	8.91482e-06	8.83676e-06	8.88104e-06	8.91624e-06	8.66779e-08	2.0623e-05	1.61973e-07	8.92889e-06	8.82195e-06	8.84715e-06	7.99311e-08	8.93777e-06	4.25074e-08	1.47784e-07	3.03374e-06	8.86441e-06	2.49383e-07	8.90612e-06	7.33501e-10	8.84688e-06	8.94602e-06	1.00825e-07	1.49715e-07	2.06399e-05	1.77503e-05	8.09713e-08	3.09193e-08	8.89753e-06	9.43888e-08	9.4782e-08	8.90959e-06	1.76547e-05	8.88068e-06	4.39943e-08	8.05015e-08	8.89404e-06	1.06231e-07	8.86761e-08	8.90756e-06	5.94108e-06	1.76957e-05	1.18488e-05	8.87717e-06	6.57888e-08	1.16886e-07	8.92396e-06	8.92689e-06	1.11627e-07	2.65561e-05	2.13572e-07	6.08101e-08	1.76943e-05	1.76503e-05	8.90015e-06	1.16427e-07	1.16355e-07	1.77468e-05	1.18052e-05	8.92695e-06	2.65342e-05	2.99799e-06	8.89034e-06	1.76815e-05	8.93185e-08	1.44841e-07	8.86682e-06	8.90685e-06	1.19375e-05	1.77266e-05	8.89994e-06	6.06148e-06	1.77522e-05	8.9756e-06	1.2343e-07	1.95238e-07	2.06218e-05	2.98428e-07	2.07956e-05	2.06889e-05	1.19929e-05	0.00153897
d2_7	0.00749082	3.22834e-05	6.46292e-05	1.77131e-05	1.18582e-05	1.76097e-05	2.64717e-05	1.76336e-05	8.87893e-06	1.76788e-05	8.85134e-06	5.03917e-08	1.79456e-09	8.87758e-06	5.97738e-08	8.82225e-06	1.18218e-05	2.05991e-05	1.77235e-05	1.17457e-05	8.8889e-06	4.46681e-08	1.18248e-05	1.76486e-05	1.765e-05	8.86135e-06	1.76604e-05	2.93478e-05	8.86885e-06	2.06096e-05	2.3598e-05	8.92115e-06	8.94494e-06	1.76153e-05	8.80937e-06	3.07626e-06	1.27927e-07	2.06739e-05	6.72085e-08	1.29184e-07	1.76267e-05	8.83726e-06	8.43393e-08	5.79948e-08	1.76773e-05	1.77587e-05	2.06092e-05	1.17858e-05	8.96344e-06	5.96302e-08	1.41173e-07	8.85616e-06	1.76253e-05	8.63443e-08	1.77467e-05	1.59927e-08	8.92707e-06	4.88198e-08	8.87898e-06	7.11024e-08	3.02575e-08	9.40877e-08	8.94014e-06	8.89244e-06	7.06447e-08	8.85655e-06	2.65376e-05	1.18806e-05	8.83963e-06	8.83902e-06	8.2956e-08	1.18258e-05	1.76492e-05	8.8648e-06	8.93205e-06	6.36272e-08	2.93257e-05	8.85979e-06	8.86768e-06	8.83855e-06	8.88888e-06	8.89346e-06	5.89435e-08	8.83956e-06	2.69073e-08	1.17907e-05	2.65262e-05	8.87436e-06	8.9486e-06	8.9373e-06	1.78661e-05	2.66298e-05	8.8794e-06	1.7771e-05	8.98743e-06	1.7766e-05	4.71416e-05	2.66834e-05	0.00170503
d2_8	0.00676316	4.11971e-05	2.06438e-05	1.76809e-05	2.64888e-05	1.77118e-05	2.06518e-05	2.65152e-05	1.01871e-07	3.01709e-06	3.81868e-05	2.65741e-05	8.91671e-06	2.64768e-05	1.19807e-07	8.90394e-06	7.76113e-08	8.96329e-06	2.98763e-06	8.89039e-06	8.98704e-06	1.76729e-05	6.65457e-08	4.08299e-08	7.95388e-08	8.87066e-06	1.47779e-07	1.03674e-07	2.64295e-05	6.55473e-08	8.94055e-06	8.92687e-06	1.33065e-07	1.76967e-05	1.17939e-05	1.76243e-05	8.83868e-06	1.77069e-05	8.48782e-08	7.65834e-08	8.88684e-06	6.72639e-08	7.98155e-08	8.85561e-06	1.72709e-07	8.84182e-06	8.81951e-06	8.85871e-06	2.06946e-05	1.17695e-05	9.31603e-08	8.8336e-06	8.95879e-06	8.82524e-06	1.77424e-05	8.86148e-06	8.82393e-06	8.90405e-06	1.18115e-05	8.90256e-06	3.08655e-08	1.76917e-05	1.00287e-07	2.53346e-08	1.62954e-08	8.9146e-06	1.11036e-07	5.73531e-08	8.54972e-08	1.76888e-05	8.88629e-06	8.92535e-06	1.18728e-07	9.82599e-09	1.19051e-05	4.55185e-08	8.90007e-06	1.77336e-05	8.82461e-06	1.62549e-07	8.86323e-06	1.78412e-05	1.76084e-05	1.07039e-07	2.06251e-05	1.11523e-07	8.97034e-08	8.88863e-06	1.36297e-07	3.10154e-06	3.10181e-06	1.77054e-05	1.00346e-07	1.76633e-07	2.04846e-07	1.77363e-05	2.66994e-05	3.55177e-05	0.00163572
d2_9	0.00601011	2.65887e-05	1.76668e-05	4.39726e-05	2.06359e-05	8.91422e-06	1.77159e-05	1.75953e-05	8.81023e-06	8.83479e-06	1.76748e-05	2.93859e-05	1.76839e-05	8.9562e-06	8.88274e-06	7.87768e-08	1.05574e-07	3.5358e-05	8.84073e-06	8.97379e-06	1.76499e-05	1.77505e-05	4.7547e-08	5.99044e-08	1.76917e-05	8.9131e-06	8.8103e-06	6.85723e-09	1.31761e-07	1.1142e-07	1.66964e-07	8.86206e-06	8.90663e-06	2.05912e-05	8.8602e-08	8.81009e-06	8.94491e-08	7.12308e-08	7.51347e-08	9.62116e-08	1.19304e-05	1.05437e-07	4.34816e-08	1.76407e-05	9.02901e-08	1.18049e-07	1.77148e-05	8.95804e-06	1.29693e-07	9.76822e-08	1.77012e-05	1.77089e-05	8.9008e-06	1.18202e-05	8.85833e-06	5.27993e-08	4.24156e-08	8.89789e-06	8.96056e-06	8.90858e-06	8.36669e-08	2.6412e-05	1.18687e-05	1.77467e-05	8.93115e-06	8.87138e-06	8.80153e-06	8.90069e-06	3.54797e-08	1.76973e-05	8.56741e-08	8.96555e-06	2.6497e-05	1.95036e-08	8.34506e-08	8.89344e-06	1.76267e-05	8.91147e-06	1.77424e-05	8.82536e-06	1.76891e-05	2.08267e-08	5.94364e-08	8.88602e-06	2.21676e-07	1.76467e-05	8.84624e-06	8.93184e-06	2.94052e-05	8.97315e-06	8.85296e-06	1.58371e-07	5.50843e-08	1.76487e-05	1.18071e-05	2.65359e-05	3.04528e-06	2.07345e-05	0.00158104
